['768', '181', '961', '929', '401', '36', '268', '392', '185', '46', '545', '112', '225', '683', '266', '523', '824', '839', '780', '572']
['184', '76', '193', '914', '457', '797', '941', '248', '396', '183', '358', '21', '647', '719', '973', '575', '611', '563', '968', '303']
['551', '537', '79', '898', '901', '530', '576', '723', '747', '255', '957', '998', '854', '365', '115', '460', '665', '878', '619', '442']
['903', '280', '980', '368', '606', '155', '439', '180', '298', '994', '724', '942', '176', '29', '9', '981', '271', '767', '638', '539']
['378', '559', '8', '726', '82', '43', '495', '684', '544', '281', '148', '204', '217', '484', '444', '311', '650', '515', '47', '446']
['641', '837', '329', '299', '416', '720', '45', '943', '751', '137', '741', '752', '930', '993', '490', '201', '467', '703', '867', '996']
['161', '301', '949', '314', '821', '679', '571', '449', '292', '143', '836', '828', '897', '578', '567', '395', '158', '486', '59', '847']
['331', '403', '309', '585', '86', '507', '702', '84', '762', '707', '831', '662', '226', '221', '316', '98', '448', '955', '978', '893']
['813', '634', '785', '582', '712', '121', '312', '663', '127', '355', '590', '910', '108', '909', '402', '156', '429', '317', '308', '408']
['940', '391', '341', '861', '37', '11', '263', '253', '5', '0', '846', '173', '306', '398', '414', '870', '458', '731', '554', '307']
['695', '912', '56', '736', '18', '278', '715', '628', '70', '231', '656', '842', '538', '920', '599', '546', '769', '877', '60', '202']
['78', '852', '894', '805', '748', '519', '872', '880', '579', '526', '848', '352', '377', '782', '102', '494', '952', '430', '386', '265']
['382', '346', '135', '406', '713', '786', '272', '737', '342', '999', '815', '548', '65', '755', '895', '13', '261', '80', '732', '793']
['989', '40', '533', '318', '496', '189', '655', '687', '775', '725', '492', '610', '228', '738', '717', '718', '642', '470', '873', '146']
['420', '937', '276', '194', '291', '699', '259', '239', '971', '849', '953', '447', '963', '935', '480', '959', '521', '293', '463', '369']
['677', '285', '501', '313', '428', '497', '698', '672', '324', '389', '464', '482', '418', '154', '729', '101', '888', '106', '976', '351']
['451', '874', '413', '700', '581', '806', '376', '267', '22', '932', '676', '644', '169', '591', '756', '468', '110', '476', '179', '210']
['749', '151', '701', '891', '205', '673', '788', '489', '466', '284', '319', '992', '933', '182', '337', '159', '608', '172', '196', '524']
['321', '410', '233', '24', '107', '865', '520', '96', '592', '175', '760', '922', '186', '367', '427', '811', '498', '694', '191', '667']
