['465', '135', '692', '571', '528', '336']
['563', '298', '334', '312', '335', '663']
['147', '299', '282', '189', '33', '22']
['242', '626', '547', '232', '710', '668']
['596', '345', '121', '4', '256', '496']
['671', '522', '361', '141', '709', '589']
['681', '130', '167', '180', '70', '187']
['53', '289', '534', '193', '257', '74']
['60', '338', '705', '652', '384', '405']
['25', '457', '276', '463', '177', '428']
['35', '578', '325', '500', '31', '579']
['234', '410', '196', '712', '370', '603']
['393', '670', '79', '327', '326', '450']
['488', '54', '700', '49', '62', '406']
['564', '259', '385', '307', '138', '480']
['13', '367', '448', '704', '560', '258']
['679', '231', '41', '114', '601', '691']
['472', '446', '403', '124', '45', '343']
['468', '195', '324', '347', '540', '208']
['416', '75', '136', '719', '674', '461']
['659', '664', '285', '618', '170', '527']
['453', '55', '6', '432', '486', '72']
['362', '649', '421', '390', '244', '78']
['95', '322', '247', '383', '186', '211']
['426', '645', '504', '316', '89', '339']
['159', '178', '517', '191', '143', '56']
['238', '246', '492', '650', '293', '188']
['99', '253', '689', '417', '407', '349']
['115', '425', '154', '397', '651', '249']
['509', '524', '92', '218', '675', '696']
['391', '254', '597', '414', '718', '59']
['142', '555', '58', '360', '433', '507']
['627', '185', '91', '155', '386', '133']
['174', '323', '599', '5', '420', '408']
['337', '374', '537', '175', '545', '582']
['629', '2', '125', '565', '219', '687']
['212', '515', '157', '118', '439', '356']
['245', '357', '284', '404', '61', '648']
['394', '105', '454', '682', '32', '355']
['620', '476', '697', '717', '573', '387']
['331', '525', '255', '278', '230', '21']
['151', '36', '44', '129', '351', '550']
['556', '516', '7', '20', '554', '225']
['277', '76', '158', '341', '354', '216']
['82', '353', '50', '575', '512', '455']
['491', '203', '559', '388', '470', '194']
['586', '287', '172', '0', '251', '97']
['442', '107', '128', '422', '548', '566']
['190', '715', '304', '17', '209', '634']
['28', '569', '222', '495', '301', '96']
['460', '535', '163', '444', '529', '672']
['310', '541', '279', '24', '713', '305']
['302', '73', '591', '630', '702', '271']
['122', '561', '344', '204', '703', '120']
['88', '677', '283', '252', '706', '319']
['607', '164', '192', '83', '400', '308']
['350', '392', '176', '112', '281', '146']
['685', '690', '161', '615', '459', '365']
['9', '458', '352', '228', '701', '657']
['131', '152', '441', '379', '280', '482']
['654', '223', '27', '520', '309', '608']
['119', '286', '81', '646', '594', '497']
['205', '377', '363', '311', '467', '290']
['604', '595', '241', '213', '275', '423']
['26', '502', '613', '673', '533', '201']
['536', '166', '248', '546', '449', '519']
['260', '666', '108', '431', '445', '51']
['714', '680', '139', '562', '552', '329']
['332', '144', '300', '317', '625', '640']
['372', '427', '80', '66', '306', '10']
['150', '16', '469', '207', '342', '443']
['389', '268', '368', '526', '567', '93']
['676', '479', '628', '667', '104', '12']
['169', '503', '462', '451', '568', '264']
['111', '436', '237', '570', '288', '37']
['716', '8', '340', '148', '518', '291']
['641', '508', '29', '183', '452', '643']
['437', '435', '140', '477', '577', '46']
['57', '109', '466', '100', '38', '376']
['684', '226', '318', '686', '221', '198']
['333', '134', '543', '549', '658', '314']
['23', '493', '156', '171', '694', '617']
['117', '15', '87', '102', '581', '43']
['273', '395', '261', '678', '199', '369']
['84', '165', '506', '660', '636', '274']
['239', '110', '551', '542', '366', '294']
['137', '598', '498', '665', '200', '210']
['292', '233', '647', '688', '101', '320']
['584', '514', '272', '557', '168', '499']
['429', '424', '501', '588', '270', '348']
['484', '94', '483', '398', '358', '132']
['65', '612', '263', '382', '250', '64']
['412', '631', '611', '473', '71', '39']
['14', '430', '303', '145', '214', '447']
['711', '474', '494', '181', '521', '637']
['592', '638', '295', '635', '197', '606']
['623', '481', '523', '531', '624', '67']
['328', '47', '375', '364', '378', '574']
['538', '593', '418', '98', '662', '440']
['63', '402', '330', '103', '456', '321']
['707', '11', '419', '34', '558', '489']
['184', '3', '160', '415', '315', '639']
['478', '656', '583', '77', '642', '610']
['708', '182', '655', '262', '173', '632']
['396', '236', '162', '602', '380', '633']
['113', '18', '69', '513', '485', '42']
['1', '373', '614', '644', '40', '572']
['68', '695', '269', '202', '48', '544']
['227', '510', '530', '116', '149', '438']
['215', '669', '585', '313', '153', '296']
['266', '698', '539', '220', '229', '587']
['505', '19', '619', '240', '30', '553']
['90', '590', '297', '346', '52', '413']
['490', '600', '471', '401', '267', '179']
['683', '127', '693', '699', '434', '217']
['224', '85', '661', '359', '371', '532']
['126', '653', '399', '511', '609', '487']
['123', '106', '622', '580', '409', '576']
['235', '475', '464', '621', '616', '411']
['86', '243', '206', '605', '265', '381']
