['726', '754', '748', '601', '416', '204', '11', '216', '17', '649', '401', '307', '315', '759', '570', '246', '712', '564', '151', '547', '157', '138', '208', '475', '52', '434', '729', '510', '466', '692', '409', '145', '133', '371', '596']
['648', '770', '177', '91', '703', '580', '67', '6', '459', '168', '159', '286', '191', '207', '569', '545', '126', '237', '417', '378', '583', '464', '515', '855', '506', '93', '324', '122', '411', '706', '220', '61', '278', '437', '526']
['68', '359', '432', '53', '377', '456', '134', '65', '325', '831', '383', '428', '802', '779', '772', '308', '113', '613', '747', '489', '720', '495', '79', '446', '491', '392', '221', '741', '675', '167', '784', '641', '232', '655', '12']
['135', '665', '183', '630', '778', '41', '0', '429', '599', '74', '637', '236', '121', '372', '586', '108', '801', '230', '592', '817', '106', '815', '45', '123', '593', '251', '203', '709', '94', '714', '448', '234', '792', '226', '169']
['244', '530', '297', '219', '112', '685', '76', '63', '659', '585', '356', '603', '397', '691', '29', '118', '777', '552', '503', '402', '176', '9', '559', '273', '345', '588', '264', '739', '453', '827', '425', '845', '617', '149', '436']
['479', '622', '184', '349', '783', '351', '337', '373', '818', '355', '127', '441', '69', '689', '743', '694', '282', '616', '206', '488', '276', '775', '696', '762', '328', '340', '574', '735', '235', '695', '543', '90', '701', '354', '294']
['114', '843', '214', '88', '274', '332', '780', '105', '847', '458', '227', '419', '645', '267', '671', '309', '828', '832', '505', '540', '390', '661', '205', '171', '756', '678', '287', '666', '478', '86', '519', '182', '624', '117', '789']
['277', '619', '258', '578', '107', '262', '639', '708', '420', '70', '422', '57', '388', '444', '399', '310', '761', '142', '301', '305', '611', '454', '327', '421', '723', '248', '721', '400', '555', '281', '290', '697', '631', '320', '653']
['331', '643', '589', '511', '172', '295', '816', '181', '141', '260', '185', '844', '357', '554', '269', '209', '799', '78', '760', '690', '140', '632', '447', '776', '508', '412', '793', '222', '139', '398', '239', '520', '810', '550', '485']
['71', '469', '699', '10', '304', '16', '424', '303', '673', '557', '674', '719', '848', '786', '677', '99', '34', '461', '3', '229', '162', '364', '5', '727', '811', '771', '47', '457', '562', '757', '50', '73', '198', '644', '804']
['25', '190', '575', '612', '658', '109', '676', '317', '681', '346', '833', '96', '509', '380', '240', '594', '32', '663', '494', '166', '280', '72', '255', '393', '587', '531', '468', '579', '480', '333', '647', '787', '427', '618', '152']
['566', '194', '573', '44', '33', '116', '481', '211', '730', '291', '516', '404', '155', '353', '614', '487', '669', '347', '548', '348', '512', '785', '626', '342', '513', '590', '87', '633', '713', '486', '199', '443', '196', '571', '823']
['533', '369', '321', '750', '189', '462', '528', '225', '256', '387', '128', '664', '800', '186', '568', '212', '271', '744', '394', '115', '560', '36', '532', '610', '125', '556', '782', '835', '807', '293', '541', '146', '688', '650', '81']
['598', '808', '582', '104', '28', '20', '607', '7', '180', '361', '501', '716', '477', '201', '755', '752', '21', '529', '704', '656', '202', '646', '366', '836', '250', '732', '814', '576', '839', '450', '791', '100', '254', '164', '213']
['245', '59', '386', '768', '224', '13', '442', '535', '700', '58', '451', '83', '75', '299', '136', '731', '408', '23', '734', '368', '635', '22', '822', '551', '173', '609', '471', '781', '525', '311', '367', '820', '283', '405', '502']
['766', '8', '360', '306', '693', '335', '341', '80', '470', '64', '296', '846', '49', '853', '705', '711', '702', '265', '455', '238', '615', '572', '318', '854', '14', '463', '654', '410', '257', '129', '629', '379', '132', '179', '698']
['605', '686', '850', '46', '26', '527', '31', '253', '715', '621', '724', '521', '407', '19', '507', '753', '745', '604', '319', '595', '796', '538', '670', '365', '795', '66', '170', '385', '231', '338', '430', '40', '426', '728', '634']
['584', '124', '514', '197', '403', '285', '120', '279', '737', '259', '154', '218', '824', '272', '316', '749', '642', '43', '496', '842', '195', '174', '298', '563', '148', '465', '484', '623', '261', '672', '476', '363', '102', '794', '472']
['223', '370', '710', '396', '384', '362', '544', '449', '144', '249', '215', '375', '467', '252', '48', '600', '837', '717', '284', '389', '130', '391', '413', '292', '343', '581', '415', '37', '62', '636', '803', '826', '482', '210', '247']
['153', '376', '165', '39', '805', '352', '300', '687', '95', '834', '682', '243', '97', '55', '54', '769', '445', '406', '323', '85', '147', '773', '302', '683', '733', '339', '821', '143', '606', '313', '82', '813', '763', '852', '738']
['233', '263', '15', '150', '175', '101', '60', '431', '746', '524', '111', '460', '758', '84', '35', '103', '156', '640', '841', '657', '838', '627', '667', '722', '289', '536', '652', '42', '553', '602', '1', '89', '418', '433', '382']
['742', '92', '499', '829', '270', '668', '660', '414', '825', '797', '4', '381', '330', '790', '493', '549', '2', '651', '322', '558', '819', '638', '725', '158', '483', '788', '228', '537', '24', '774', '314', '680', '178', '423', '312']
['662', '358', '561', '474', '452', '160', '119', '326', '517', '440', '591', '851', '38', '435', '840', '707', '565', '767', '764', '798', '751', '546', '200', '27', '500', '497', '736', '522', '56', '498', '625', '473', '350', '18', '344']
['608', '718', '577', '217', '620', '438', '740', '539', '334', '849', '110', '628', '765', '275', '523', '492', '161', '266', '374', '187', '288', '137', '131', '534', '336', '518', '490', '806', '241', '684', '192', '439', '329', '395', '77']
['30', '163', '193', '188', '679', '242', '268', '597', '812', '51', '567', '542', '809', '98', '504', '830']
