['614', '779', '433', '778', '815', '658', '892', '936', '36', '677', '873', '617', '148', '382', '10', '398', '390', '48', '281', '162', '775', '303', '146', '257', '721']
['998', '446', '743', '92', '729', '482', '708', '285', '69', '399', '347', '584', '38', '603', '89', '418', '946', '678', '529', '635', '242', '525', '868', '864', '979']
['971', '615', '637', '964', '331', '651', '977', '875', '999', '629', '626', '337', '734', '737', '342', '835', '323', '803', '228', '172', '75', '682', '18', '935', '375']
['110', '24', '831', '517', '151', '385', '128', '829', '403', '516', '262', '103', '906', '623', '598', '877', '607', '322', '851', '902', '885', '633', '28', '452', '195']
['972', '508', '328', '357', '30', '227', '408', '125', '735', '276', '909', '717', '688', '932', '145', '120', '991', '753', '958', '68', '943', '427', '240', '356', '888']
['858', '414', '493', '11', '918', '959', '751', '632', '928', '173', '484', '61', '718', '66', '528', '925', '367', '861', '841', '267', '417', '282', '366', '235', '470']
['156', '185', '929', '886', '555', '383', '216', '259', '823', '749', '88', '523', '687', '731', '854', '726', '982', '795', '668', '247', '863', '956', '673', '209', '575']
['138', '524', '274', '340', '251', '592', '329', '904', '953', '553', '25', '465', '709', '631', '236', '600', '271', '648', '763', '696', '457', '245', '166', '46', '233']
['797', '900', '684', '560', '602', '973', '174', '339', '99', '31', '312', '421', '515', '715', '280', '224', '556', '988', '327', '983', '812', '153', '317', '396', '139']
['9', '879', '769', '738', '760', '336', '73', '210', '819', '62', '949', '581', '962', '565', '747', '589', '13', '191', '7', '541', '549', '531', '147', '558', '60']
['63', '388', '955', '700', '866', '296', '937', '805', '463', '370', '443', '16', '333', '481', '898', '133', '897', '694', '739', '343', '826', '64', '109', '207', '409']
['934', '363', '308', '989', '862', '521', '750', '944', '266', '695', '567', '90', '776', '116', '253', '365', '256', '506', '67', '104', '860', '960', '887', '393', '238']
['491', '50', '492', '940', '206', '961', '374', '55', '272', '107', '821', '294', '134', '305', '488', '309', '807', '158', '135', '175', '243', '646', '945', '211', '834']
['167', '650', '674', '844', '686', '889', '725', '827', '358', '448', '113', '833', '85', '81', '112', '311', '675', '21', '473', '438', '381', '313', '330', '719', '301']
['685', '239', '736', '752', '742', '435', '368', '35', '670', '360', '647', '261', '87', '83', '415', '590', '980', '389', '500', '445', '791', '5', '14', '80', '115']
