['478', '340', '516', '196', '576', '373', '278', '50', '500', '54', '597', '691', '732', '12', '338', '1', '362', '458', '647', '151', '68', '737', '730', '487', '269', '602', '420', '603', '293', '47', '83', '575', '519', '581', '493', '586', '524', '599', '460', '177']
['125', '577', '128', '41', '241', '657', '119', '17', '415', '557', '723', '645', '438', '370', '144', '430', '449', '121', '454', '387', '582', '720', '502', '198', '450', '688', '20', '553', '247', '394', '310', '710', '427', '654', '78', '495', '0', '223', '142', '87']
['322', '535', '600', '555', '16', '570', '8', '694', '507', '307', '64', '532', '300', '641', '675', '283', '678', '298', '565', '363', '590', '560', '233', '539', '74', '639', '122', '393', '708', '446', '284', '282', '51', '545', '259', '452', '379', '299', '92', '316']
['633', '504', '490', '572', '19', '137', '351', '180', '578', '162', '617', '601', '67', '537', '381', '389', '506', '416', '480', '536', '219', '453', '701', '46', '682', '28', '321', '699', '738', '546', '207', '214', '380', '382', '220', '434', '116', '258', '344', '178']
['103', '365', '159', '646', '566', '222', '511', '349', '407', '477', '304', '165', '43', '34', '261', '482', '594', '650', '722', '218', '693', '127', '358', '468', '398', '474', '286', '550', '48', '707', '224', '400', '11', '494', '667', '685', '656', '195', '175', '86']
['491', '23', '706', '260', '471', '437', '70', '475', '605', '531', '301', '104', '687', '257', '145', '228', '105', '559', '485', '618', '6', '248', '456', '653', '680', '359', '357', '610', '534', '229', '235', '227', '392', '483', '612', '697', '528', '76', '423', '403']
['39', '190', '230', '619', '488', '140', '702', '326', '96', '296', '242', '734', '2', '94', '561', '266', '644', '683', '390', '538', '484', '13', '630', '410', '184', '384', '323', '53', '659', '143', '42', '270', '543', '698', '288', '409', '334', '716', '429', '267']
['77', '360', '117', '208', '406', '193', '255', '666', '31', '496', '290', '611', '498', '615', '112', '202', '147', '319', '52', '469', '306', '106', '347', '29', '729', '212', '10', '57', '81', '7', '515', '256', '440', '589', '563', '111', '467', '172', '649', '317']
['188', '236', '342', '616', '164', '101', '439', '97', '244', '632', '250', '695', '724', '60', '308', '254', '150', '568', '280', '136', '37', '160', '210', '281', '168', '447', '61', '690', '514', '110', '717', '728', '249', '353', '592', '102', '684', '129', '422', '686']
['161', '637', '651', '328', '80', '311', '356', '525', '718', '441', '33', '108', '69', '197', '513', '182', '556', '330', '138', '372', '652', '115', '315', '591', '36', '664', '435', '689', '337', '123', '408', '564', '658', '374', '65', '49', '3', '240', '643', '201']
['383', '292', '470', '169', '623', '206', '614', '27', '238', '183', '253', '631', '584', '155', '547', '126', '91', '721', '635', '170', '573', '459', '587', '508', '187', '636', '541', '465', '18', '209', '251', '163', '332', '157', '166', '624', '608', '638', '93', '595']
['621', '399', '287', '725', '476', '428', '179', '264', '361', '548', '585', '391', '63', '472', '492', '341', '89', '503', '272', '629', '558', '215', '203', '552', '567', '402', '448', '727', '274', '45', '554', '455', '173', '21', '346', '273', '660', '413', '518', '158']
['479', '512', '588', '231', '672', '329', '216', '88', '154', '457', '327', '540', '569', '551', '704', '375', '486', '130', '15', '676', '401', '85', '425', '431', '56', '294', '668', '118', '213', '313', '152', '414', '109', '124', '424', '194', '421', '395', '405', '189']
['72', '463', '345', '607', '32', '134', '669', '139', '709', '199', '303', '433', '426', '640', '226', '509', '533', '385', '411', '9', '501', '462', '205', '613', '510', '386', '579', '418', '366', '606', '715', '596', '297', '320', '148', '432', '443', '634', '237', '268']
['66', '325', '368', '95', '679', '336', '499', '174', '662', '739', '98', '609', '295', '733', '497', '526', '731', '604', '481', '132', '309', '627', '713', '700', '302', '22', '234', '191', '331', '167', '665', '156', '232', '40', '696', '176', '35', '5', '4', '113']
['529', '583', '378', '681', '677', '655', '396', '703', '364', '186', '642', '711', '26', '79', '291', '343', '355', '246', '279', '14', '192', '461', '712', '277', '574', '211', '692', '133', '417', '369', '348', '275', '271', '622', '135', '367', '580', '517', '626', '84']
['99', '100', '245', '285', '736', '324', '225', '562', '314', '445', '473', '350', '521', '114', '71', '520', '181', '221', '25', '339', '185', '131', '527', '671', '82', '505', '593', '726', '44', '318', '489', '522', '648', '75', '542', '464', '333', '149', '171', '276']
['265', '376', '714', '62', '451', '243', '217', '252', '107', '262', '404', '705', '354', '620', '38', '239', '444', '204', '59', '73', '628', '661', '24', '719', '673', '263', '90', '397', '674', '335', '120', '571', '735', '200', '312', '141', '30', '530', '412', '419']
['442', '352', '466', '289', '549', '305', '436', '371', '670', '146', '58', '55', '153', '377', '388', '663', '598', '523', '625', '544']
