['76', '177', '554', '276', '336', '770', '162', '264', '946', '785', '672', '725', '737', '682', '112', '424', '103', '354', '900', '170', '865', '410', '183', '219', '594', '657', '28', '118', '741', '750', '932']
['405', '758', '328', '665', '837', '147', '698', '125', '283', '858', '954', '877', '803', '130', '774', '642', '849', '349', '853', '164', '400', '101', '282', '342', '838', '925', '734', '12', '392', '430', '586']
['715', '903', '11', '930', '720', '606', '356', '399', '491', '137', '387', '856', '414', '784', '705', '153', '511', '310', '17', '99', '171', '502', '951', '62', '731', '53', '340', '679', '233', '595', '609']
['300', '409', '484', '254', '659', '640', '321', '33', '469', '80', '277', '456', '161', '68', '699', '129', '366', '190', '825', '590', '618', '675', '645', '926', '350', '623', '210', '150', '834', '717', '61']
['180', '30', '487', '813', '154', '793', '754', '751', '577', '296', '760', '886', '529', '364', '733', '592', '446', '870', '572', '519', '423', '624', '353', '382', '384', '894', '489', '708', '144', '345', '745']
['775', '65', '268', '98', '613', '847', '643', '518', '528', '928', '839', '861', '581', '585', '910', '887', '222', '27', '709', '149', '105', '106', '88', '670', '309', '135', '96', '201', '331', '885', '841']
['828', '692', '922', '819', '422', '804', '308', '198', '152', '892', '815', '218', '702', '480', '188', '374', '166', '255', '145', '736', '787', '93', '192', '931', '627', '78', '634', '918', '879', '525', '700']
['859', '669', '748', '142', '656', '812', '82', '231', '676', '933', '938', '91', '352', '514', '242', '77', '761', '896', '431', '9', '516', '496', '507', '875', '393', '611', '884', '598', '439', '490', '605']
['434', '880', '123', '139', '215', '662', '510', '615', '351', '939', '378', '738', '280', '573', '253', '617', '186', '365', '959', '714', '18', '380', '545', '159', '311', '513', '39', '559', '167', '544', '89']
['418', '801', '116', '641', '258', '10', '360', '462', '631', '527', '318', '678', '57', '348', '389', '412', '878', '673', '773', '521', '397', '820', '42', '582', '830', '243', '840', '426', '697', '60', '402']
['786', '301', '404', '749', '8', '337', '781', '537', '15', '263', '744', '612', '935', '914', '327', '81', '850', '588', '622', '762', '272', '181', '119', '66', '568', '569', '485', '845', '567', '302', '788']
['829', '333', '295', '437', '478', '621', '531', '401', '262', '259', '740', '647', '189', '306', '652', '796', '630', '204', '625', '689', '851', '790', '120', '247', '499', '241', '121', '570', '520', '238', '440']
['385', '923', '685', '396', '315', '394', '464', '122', '883', '178', '607', '156', '505', '769', '7', '743', '481', '109', '899', '632', '265', '571', '278', '550', '1', '208', '508', '713', '460', '0', '789']
['246', '206', '420', '752', '846', '546', '90', '411', '898', '561', '305', '148', '97', '84', '869', '453', '855', '251', '778', '458', '482', '844', '817', '638', '848', '649', '667', '810', '639', '421', '212']
['957', '506', '842', '36', '174', '454', '379', '706', '230', '172', '560', '290', '58', '517', '289', '248', '587', '477', '445', '584', '38', '727', '532', '614', '199', '369', '94', '782', '317', '947', '610']
['540', '362', '29', '821', '809', '334', '771', '578', '237', '179', '214', '388', '722', '661', '267', '323', '211', '602', '644', '151', '216', '403', '111', '767', '234', '207', '695', '660', '376', '209', '344']
['902', '726', '286', '429', '693', '187', '252', '940', '176', '891', '114', '526', '882', '576', '799', '827', '729', '471', '197', '20', '260', '658', '307', '457', '363', '497', '881', '566', '908', '221', '703']
['279', '447', '515', '157', '863', '663', '798', '696', '927', '735', '294', '235', '16', '608', '314', '59', '398', '220', '449', '371', '780', '929', '225', '193', '755', '102', '686', '381', '739', '127', '22']
['712', '50', '338', '275', '677', '377', '2', '288', '768', '765', '538', '136', '556', '792', '876', '818', '934', '757', '535', '269', '274', '901', '75', '843', '654', '579', '872', '522', '416', '691', '816']
['100', '117', '747', '347', '113', '949', '175', '266', '512', '461', '616', '227', '648', '498', '63', '133', '443', '909', '620', '285', '732', '921', '55', '650', '72', '937', '646', '312', '451', '3', '483']
['346', '444', '182', '320', '600', '140', '629', '958', '728', '936', '655', '49', '173', '455', '783', '92', '115', '21', '473', '184', '46', '47', '432', '905', '383', '857', '742', '425', '257', '316', '448']
['256', '236', '541', '391', '504', '244', '524', '71', '800', '547', '467', '25', '704', '326', '681', '24', '303', '835', '543', '564', '40', '361', '459', '719', '710', '185', '19', '596', '6', '806', '868']
['495', '626', '911', '888', '143', '476', '291', '69', '575', '339', '486', '329', '293', '763', '229', '811', '224', '542', '436', '766', '952', '270', '413', '890', '87', '472', '488', '475', '5', '428', '583']
['373', '126', '79', '386', '530', '395', '764', '95', '196', '666', '814', '330', '897', '463', '580', '281', '591', '4', '375', '716', '718', '779', '332', '390', '299', '956', '474', '355', '619', '452', '753']
['128', '35', '31', '604', '756', '494', '271', '960', '555', '319', '54', '777', '261', '67', '168', '924', '776', '52', '466', '341', '895', '636', '826', '805', '668', '906', '26', '539', '867', '85', '146']
['802', '479', '707', '359', '823', '593', '873', '797', '597', '503', '832', '370', '107', '470', '245', '523', '284', '108', '442', '202', '824', '549', '759', '684', '64', '690', '500', '915', '141', '862', '70']
['948', '406', '335', '599', '14', '195', '694', '160', '551', '438', '501', '907', '223', '250', '298', '134', '163', '635', '913', '533', '680', '13', '51', '553', '664', '953', '920', '904', '43', '232', '273']
['807', '468', '943', '41', '304', '358', '860', '723', '44', '791', '441', '32', '165', '249', '155', '132', '324', '772', '671', '110', '628', '552', '200', '854', '941', '194', '893', '917', '493', '558', '637']
['864', '433', '808', '711', '536', '104', '217', '919', '653', '874', '688', '407', '37', '724', '74', '158', '367', '852', '589', '492', '239', '651', '83', '240', '674', '601', '450', '509', '23', '557', '687']
['408', '945', '322', '944', '131', '73', '822', '86', '205', '124', '415', '427', '34', '226', '730', '228', '138', '563', '56', '721', '534', '955', '912', '633', '435', '287', '866', '565', '795', '45', '833']
['831', '465', '871', '48', '419', '213', '701', '325', '746', '950', '916', '836', '343', '292', '169', '603', '562', '313', '942', '372', '357', '574', '889', '297', '794', '203', '368', '191', '683', '417', '548']
