['336', '623', '713']
['654', '472', '792']
['412', '35', '51']
['107', '30', '752']
['180', '983', '692']
['981', '273', '325']
['767', '23', '888']
['846', '570', '572']
['25', '29', '364']
['887', '595', '61']
['239', '493', '321']
['429', '816', '303']
['867', '188', '658']
['709', '796', '384']
['719', '865', '64']
['135', '797', '45']
['742', '812', '211']
['923', '405', '612']
['847', '428', '727']
['165', '942', '912']
['308', '257', '886']
['965', '176', '268']
['899', '582', '525']
['102', '613', '943']
['374', '487', '359']
['288', '568', '463']
['951', '204', '250']
['967', '354', '917']
['157', '675', '397']
['524', '721', '219']
['756', '992', '807']
['319', '696', '74']
['871', '420', '13']
['265', '206', '362']
['800', '608', '116']
['936', '263', '911']
['87', '366', '52']
['978', '274', '949']
['275', '393', '91']
['86', '446', '474']
['745', '248', '168']
['98', '339', '254']
['269', '68', '827']
['97', '765', '551']
['870', '509', '667']
['220', '302', '36']
['131', '330', '4']
['311', '741', '819']
['875', '755', '476']
['722', '635', '122']
['806', '804', '205']
['538', '404', '227']
['347', '394', '946']
['340', '75', '343']
['513', '660', '295']
['811', '331', '610']
['885', '355', '338']
['813', '534', '379']
['402', '729', '53']
['588', '445', '746']
['598', '81', '281']
['448', '877', '571']
['685', '195', '993']
['382', '856', '686']
['520', '11', '477']
['657', '491', '335']
['656', '284', '849']
['717', '24', '492']
['387', '307', '882']
['287', '676', '518']
['723', '327', '703']
['46', '199', '221']
['569', '12', '351']
['567', '324', '530']
['123', '808', '690']
['950', '794', '900']
['832', '565', '251']
['566', '556', '223']
['971', '62', '417']
['490', '511', '682']
['296', '952', '89']
['484', '243', '294']
['974', '108', '84']
['684', '603', '184']
['604', '422', '504']
['376', '437', '876']
['341', '229', '442']
['55', '712', '19']
['857', '244', '27']
['838', '150', '118']
['541', '650', '997']
['499', '395', '576']
['982', '799', '691']
['433', '579', '973']
['891', '44', '349']
['258', '648', '337']
['757', '990', '693']
['999', '666', '502']
['665', '855', '138']
['527', '617', '915']
['280', '901', '820']
['743', '163', '128']
['687', '528', '83']
['497', '381', '647']
['859', '939', '214']
['601', '71', '606']
['310', '473', '88']
['72', '9', '624']
['774', '547', '751']
['747', '246', '353']
['940', '365', '450']
['452', '964', '770']
['968', '54', '453']
['688', '507', '114']
['809', '873', '232']
['789', '668', '919']
['817', '548', '802']
['494', '574', '557']
['529', '32', '127']
['7', '710', '411']
['375', '289', '544']
['231', '260', '561']
['781', '600', '913']
['769', '299', '759']
['162', '18', '559']
['848', '821', '581']
['850', '79', '213']
['960', '149', '934']
['725', '903', '2']
['937', '317', '597']
['833', '835', '922']
['252', '372', '584']
['344', '272', '471']
['616', '512', '130']
['522', '585', '218']
['801', '519', '15']
['611', '630', '389']
['634', '39', '181']
['264', '655', '609']
['700', '408', '998']
['196', '782', '728']
['498', '286', '910']
['966', '65', '975']
['607', '80', '432']
['430', '514', '776']
['101', '350', '689']
['841', '864', '823']
['963', '564', '778']
['173', '238', '192']
['369', '22', '99']
['515', '972', '60']
['434', '510', '447']
['920', '17', '733']
['489', '94', '948']
['345', '333', '925']
['113', '614', '890']
['203', '468', '868']
['554', '438', '14']
['186', '440', '805']
['545', '216', '133']
['361', '233', '671']
['659', '622', '674']
['831', '516', '175']
['352', '738', '217']
['6', '929', '837']
['200', '119', '5']
['385', '460', '590']
['136', '167', '762']
['536', '435', '141']
['159', '240', '783']
['932', '191', '639']
['202', '209', '410']
['605', '705', '991']
['773', '907', '532']
['632', '517', '872']
['562', '426', '142']
['456', '486', '661']
['282', '457', '589']
['697', '8', '170']
['644', '169', '640']
['840', '43', '790']
['858', '641', '970']
['988', '914', '779']
['649', '112', '298']
['707', '228', '715']
['643', '621', '166']
['312', '77', '154']
['724', '132', '279']
['642', '271', '172']
['958', '416', '750']
['313', '896', '378']
['226', '262', '436']
['501', '704', '732']
['481', '854', '592']
['894', '316', '348']
['465', '179', '207']
['618', '105', '931']
['563', '424', '400']
['0', '987', '326']
['322', '208', '230']
['558', '421', '573']
['787', '969', '944']
['156', '266', '93']
['575', '926', '935']
['391', '716', '814']
['760', '210', '16']
['315', '555', '459']
['546', '853', '533']
['927', '775', '619']
['69', '201', '85']
['58', '961', '766']
['652', '449', '822']
['224', '706', '594']
['401', '580', '540']
['126', '836', '625']
['916', '76', '398']
['620', '845', '198']
['253', '66', '726']
['748', '678', '905']
['701', '95', '96']
['164', '451', '267']
['261', '160', '185']
['694', '151', '346']
['680', '241', '956']
['427', '749', '399']
['928', '291', '458']
['125', '758', '190']
['954', '638', '371']
['881', '485', '793']
['34', '187', '276']
['57', '645', '124']
['500', '866', '358']
['764', '586', '212']
['483', '980', '377']
['862', '464', '334']
['225', '70', '467']
['550', '627', '115']
['10', '653', '318']
['342', '602', '215']
['593', '526', '744']
['735', '542', '418']
['930', '194', '285']
['906', '924', '506']
['829', '791', '470']
['549', '183', '155']
['664', '409', '146']
['277', '49', '388']
['390', '47', '488']
['815', '161', '38']
['423', '3', '278']
['110', '174', '795']
['740', '505', '615']
['985', '182', '662']
['40', '780', '140']
['897', '137', '995']
['702', '772', '443']
['403', '878', '633']
['145', '889', '629']
['111', '803', '301']
['902', '673', '955']
['237', '67', '177']
['466', '892', '42']
['921', '482', '152']
['189', '292', '28']
['810', '637', '977']
['475', '380', '73']
['431', '383', '56']
['663', '976', '396']
['26', '535', '784']
['798', '100', '938']
['844', '356', '153']
['839', '309', '120']
['20', '842', '957']
['242', '720', '21']
['469', '578', '754']
['357', '406', '596']
['392', '461', '283']
['92', '908', '314']
['753', '521', '731']
