['252', '121', '683', '377', '196', '490', '565']
['175', '539', '525', '414', '60', '258', '234']
['343', '256', '368', '105', '681', '623', '206']
['519', '31', '651', '27', '309', '312', '511']
['537', '188', '79', '104', '599', '216', '283']
['208', '460', '459', '693', '399', '227', '300']
['467', '9', '321', '106', '205', '611', '627']
['273', '688', '469', '184', '25', '383', '111']
['601', '378', '534', '508', '250', '569', '589']
['531', '66', '546', '263', '697', '81', '495']
['339', '180', '99', '647', '132', '93', '101']
['318', '294', '554', '165', '509', '200', '363']
['347', '274', '507', '324', '119', '201', '583']
['193', '317', '489', '189', '174', '30', '282']
['528', '62', '95', '269', '624', '52', '422']
['668', '270', '210', '202', '445', '298', '11']
['580', '310', '665', '316', '687', '421', '115']
['617', '231', '581', '526', '169', '153', '24']
['672', '591', '548', '365', '471', '648', '499']
['143', '423', '148', '126', '15', '396', '284']
['89', '337', '643', '158', '39', '127', '18']
['287', '418', '674', '642', '474', '506', '221']
['240', '622', '669', '67', '320', '346', '570']
['78', '600', '145', '100', '415', '379', '576']
['277', '314', '344', '123', '555', '566', '334']
['128', '71', '69', '267', '584', '503', '690']
['673', '325', '215', '553', '381', '465', '376']
['157', '430', '107', '558', '441', '229', '304']
['136', '372', '618', '141', '330', '160', '7']
['475', '510', '19', '408', '183', '636', '354']
['248', '249', '410', '164', '645', '550', '134']
['194', '513', '458', '279', '463', '222', '498']
['327', '689', '21', '332', '420', '412', '61']
['276', '151', '391', '352', '658', '582', '527']
['97', '614', '108', '228', '666', '535', '50']
['585', '171', '431', '633', '501', '23', '356']
['493', '691', '676', '295', '161', '203', '426']
['129', '80', '437', '259', '604', '289', '425']
['103', '144', '462', '662', '541', '244', '564']
['444', '333', '262', '530', '578', '57', '291']
['239', '17', '5', '122', '559', '192', '406']
['73', '264', '594', '238', '625', '470', '70']
['644', '290', '416', '590', '433', '45', '486']
['371', '204', '306', '8', '557', '479', '464']
['477', '257', '118', '598', '575', '468', '452']
['630', '484', '348', '178', '33', '322', '551']
['640', '466', '96', '147', '12', '319', '670']
['626', '382', '355', '480', '247', '654', '72']
['407', '1', '634', '214', '375', '518', '542']
['635', '620', '266', '217', '361', '84', '246']
['342', '209', '684', '38', '403', '349', '48']
['116', '212', '389', '457', '616', '297', '540']
['340', '195', '313', '461', '686', '329', '494']
['395', '664', '628', '345', '351', '454', '367']
['449', '150', '261', '608', '49', '432', '632']
['4', '328', '562', '154', '285', '113', '243']
['549', '613', '404', '515', '649', '568', '680']
['170', '547', '532', '59', '394', '400', '405']
['91', '385', '232', '419', '587', '137', '44']
['40', '409', '260', '280', '241', '65', '500']
['481', '83', '390', '679', '64', '656', '612']
['653', '245', '637', '447', '166', '571', '326']
['659', '472', '593', '198', '26', '182', '335']
['311', '299', '131', '579', '520', '124', '660']
['677', '14', '331', '362', '218', '698', '53']
['211', '533', '35', '29', '278', '615', '76']
['631', '236', '397', '428', '514', '574', '281']
['577', '586', '592', '456', '671', '605', '125']
['678', '504', '438', '696', '556', '652', '207']
['173', '610', '254', '47', '552', '10', '46']
['619', '621', '505', '77', '51', '109', '529']
['699', '380', '308', '488', '187', '268', '186']
['185', '545', '398', '473', '296', '219', '661']
['41', '230', '641', '139', '226', '482', '54']
['516', '446', '502', '435', '22', '92', '255']
['303', '386', '388', '350', '251', '168', '272']
['301', '544', '224', '523', '682', '563', '650']
['120', '190', '177', '34', '370', '199', '307']
['663', '288', '387', '455', '102', '496', '336']
['429', '162', '434', '607', '138', '411', '28']
['358', '114', '572', '694', '130', '133', '220']
['302', '609', '32', '602', '2', '606', '450']
['384', '338', '453', '560', '439', '448', '524']
['37', '82', '692', '56', '597', '20', '159']
['197', '286', '63', '487', '512', '595', '68']
['478', '364', '6', '253', '638', '112', '223']
['233', '75', '146', '179', '275', '485', '442']
['3', '237', '374', '401', '315', '567', '497']
['235', '152', '36', '476', '657', '0', '667']
['573', '43', '181', '685', '305', '492', '265']
['596', '417', '176', '149', '629', '561', '191']
['451', '393', '603', '110', '172', '483', '293']
['98', '88', '655', '117', '357', '94', '427']
['58', '140', '42', '675', '588', '402', '543']
['443', '538', '225', '242', '156', '271', '639']
['142', '359', '341', '413', '366', '292', '360']
['695', '522', '86', '521', '13', '436', '424']
['16', '369', '536', '491', '87', '55', '74']
['155', '85', '353', '163', '392', '135', '646']
['90', '323', '167', '373', '213', '517', '440']
