['868', '25', '563', '398', '367', '218', '321', '886', '840', '23', '709', '622', '685', '882', '35', '250', '732', '652', '85', '666', '0', '577', '385', '734', '359', '774', '562', '511', '168', '63', '326', '881', '590', '866', '260', '66', '380', '802', '279', '740', '619', '783', '62', '256', '480']
['672', '528', '339', '659', '399', '214', '51', '400', '794', '697', '801', '204', '427', '593', '38', '223', '178', '463', '827', '559', '338', '432', '173', '667', '678', '763', '248', '506', '202', '358', '647', '84', '539', '689', '867', '130', '83', '602', '212', '750', '819', '55', '243', '213', '259']
['82', '668', '220', '96', '366', '14', '117', '548', '673', '584', '246', '132', '434', '137', '254', '147', '549', '533', '737', '268', '68', '730', '327', '64', '551', '684', '161', '596', '655', '871', '791', '682', '236', '265', '139', '662', '775', '215', '43', '573', '583', '135', '500', '841', '21']
['331', '131', '553', '725', '169', '61', '663', '262', '756', '807', '856', '504', '604', '239', '31', '412', '674', '769', '606', '127', '812', '784', '458', '844', '410', '758', '487', '715', '768', '148', '580', '316', '627', '711', '621', '632', '179', '796', '352', '702', '499', '330', '809', '20', '854']
['615', '616', '762', '486', '318', '488', '716', '770', '332', '165', '255', '532', '482', '340', '393', '1', '284', '878', '177', '899', '890', '201', '448', '843', '492', '355', '75', '828', '545', '884', '512', '126', '514', '79', '818', '157', '77', '825', '296', '495', '370', '361', '792', '384', '742']
['808', '72', '579', '503', '690', '550', '235', '477', '26', '227', '799', '365', '143', '491', '515', '595', '505', '17', '696', '617', '897', '276', '252', '688', '863', '356', '444', '859', '136', '266', '541', '527', '728', '100', '121', '71', '645', '8', '822', '699', '156', '382', '498', '648', '712']
['263', '509', '421', '830', '719', '610', '44', '37', '646', '374', '429', '581', '183', '206', '113', '45', '234', '865', '5', '436', '599', '705', '572', '817', '322', '534', '669', '140', '876', '657', '198', '288', '407', '194', '687', '94', '466', '446', '638', '874', '831', '731', '150', '771', '755']
['392', '144', '341', '451', '133', '598', '27', '109', '443', '428', '530', '291', '185', '873', '251', '658', '442', '879', '13', '167', '497', '781', '180', '869', '554', '313', '676', '305', '197', '422', '724', '129', '747', '50', '300', '426', '612', '798', '664', '32', '18', '402', '707', '727', '586']
['86', '777', '119', '605', '124', '496', '641', '624', '275', '241', '229', '111', '59', '30', '293', '216', '760', '536', '160', '114', '891', '700', '219', '694', '34', '170', '433', '778', '582', '333', '485', '560', '110', '896', '795', '478', '166', '745', '858', '793', '195', '6', '571', '845', '564']
['558', '19', '656', '102', '28', '320', '141', '449', '87', '52', '210', '437', '592', '386', '299', '623', '29', '120', '3', '701', '803', '642', '855', '92', '800', '225', '626', '608', '372', '729', '513', '360', '67', '154', '425', '613', '834', '396', '585', '887', '644', '502', '630', '587', '349']
['546', '670', '376', '391', '744', '826', '459', '649', '601', '460', '192', '387', '176', '683', '842', '847', '411', '253', '42', '821', '547', '289', '467', '738', '149', '597', '48', '561', '489', '848', '247', '782', '535', '438', '324', '636', '494', '823', '695', '474', '691', '643', '93', '835', '351']
['493', '125', '353', '420', '417', '885', '162', '40', '271', '123', '163', '543', '424', '112', '329', '238', '208', '95', '281', '89', '877', '406', '471', '277', '609', '522', '779', '525', '104', '454', '441', '362', '378', '280', '211', '698', '308', '294', '174', '766', '570', '746', '435', '171', '69']
['138', '181', '752', '273', '811', '736', '741', '16', '364', '468', '476', '335', '761', '4', '12', '155', '369', '718', '431', '772', '640', '889', '464', '893', '2', '780', '888', '232', '440', '430', '829', '839', '816', '556', '323', '53', '484', '314', '833', '883', '453', '723', '481', '415', '272']
['450', '703', '704', '328', '290', '490', '228', '552', '74', '566', '680', '589', '637', '270', '852', '555', '445', '457', '569', '706', '377', '501', '7', '60', '304', '343', '797', '837', '872', '862', '233', '508', '107', '58', '337', '846', '677', '295', '350', '469', '158', '184', '507', '249', '383']
['373', '199', '105', '258', '33', '857', '285', '739', '820', '542', '576', '455', '629', '145', '751', '267', '814', '557', '475', '11', '594', '90', '603', '240', '526', '544', '245', '264', '510', '357', '286', '764', '186', '806', '713', '41', '520', '650', '516', '465', '152', '106', '456', '371', '298']
['710', '242', '765', '222', '153', '524', '815', '708', '10', '631', '810', '397', '565', '538', '537', '325', '303', '159', '714', '735', '88', '205', '103', '620', '721', '472', '773', '805', '375', '73', '151', '182', '224', '749', '309', '849', '651', '118', '521', '230', '347', '804', '600', '342', '278']
['306', '634', '191', '743', '720', '567', '292', '363', '661', '681', '611', '787', '301', '394', '748', '423', '850', '261', '898', '403', '894', '892', '115', '175', '754', '334', '575', '24', '81', '628', '679', '244', '49', '146', '76', '101', '717', '875', '671', '618', '517', '864', '418', '832', '785']
['653', '479', '462', '231', '529', '523', '172', '65', '379', '207', '274', '633', '287', '483', '776', '381', '470', '578', '221', '134', '591', '336', '283', '416', '395', '70', '726', '91', '319', '317', '46', '518', '36', '692', '189', '439', '344', '142', '297', '733', '419', '408', '414', '188', '675']
['574', '519', '9', '531', '568', '722', '190', '200', '786', '405', '15', '193', '461', '838', '654', '56', '759', '257', '99', '311', '686', '860', '345', '660', '409', '473', '122', '217', '607', '390', '540', '588', '880', '310', '354', '80', '639', '813', '614', '164', '388', '116', '635', '790', '209']
['895', '625', '693', '851', '368', '39', '788', '757', '315', '108', '312', '824', '57', '237', '789', '870', '98', '447', '853', '226', '97', '452', '269', '282', '665', '348', '346', '203', '836', '401', '302', '767', '22', '47', '413', '187', '307', '861', '753', '54', '389', '404', '128', '78', '196']
