['710', '728', '648', '730', '70']
['995', '32', '2', '89', '176']
['149', '79', '211', '155', '640']
['136', '849', '723', '965', '939']
['952', '225', '748', '695', '30']
['762', '919', '587', '358', '59']
['693', '346', '337', '306', '525']
['128', '961', '945', '586', '518']
['218', '533', '304', '861', '44']
['597', '564', '763', '779', '316']
['414', '66', '101', '502', '266']
['161', '183', '539', '422', '684']
['526', '862', '438', '428', '334']
['49', '971', '378', '851', '447']
['482', '889', '850', '432', '865']
['364', '871', '959', '371', '560']
['535', '26', '899', '355', '461']
['396', '139', '160', '114', '360']
['184', '496', '877', '18', '593']
['272', '786', '398', '10', '764']
['551', '591', '36', '655', '571']
['823', '51', '520', '663', '671']
['488', '682', '287', '492', '916']
['892', '47', '813', '237', '891']
['4', '506', '476', '590', '705']
['941', '265', '873', '676', '379']
['259', '102', '274', '290', '62']
['350', '719', '541', '856', '118']
['95', '714', '751', '557', '370']
['704', '652', '426', '882', '322']
['395', '64', '642', '228', '632']
['818', '223', '932', '440', '437']
['171', '624', '658', '224', '657']
['402', '288', '530', '867', '394']
['609', '405', '340', '756', '403']
['33', '844', '206', '838', '938']
['472', '110', '7', '574', '301']
['331', '298', '665', '736', '997']
['31', '116', '195', '639', '602']
['269', '511', '824', '576', '397']
['192', '747', '909', '505', '474']
['381', '896', '35', '545', '313']
['478', '170', '168', '278', '251']
['737', '608', '804', '314', '156']
['523', '800', '257', '407', '46']
['326', '419', '311', '491', '308']
['300', '673', '107', '902', '924']
['547', '740', '799', '389', '686']
['847', '267', '793', '957', '888']
['119', '374', '833', '151', '464']
['94', '210', '427', '915', '923']
['917', '629', '11', '323', '241']
['791', '613', '832', '869', '477']
['987', '309', '498', '487', '646']
['605', '553', '635', '918', '588']
['943', '895', '293', '462', '615']
['124', '820', '589', '262', '950']
['519', '353', '469', '853', '194']
['74', '131', '745', '618', '382']
['196', '391', '951', '157', '338']
['96', '280', '512', '752', '555']
['978', '568', '339', '947', '718']
['106', '662', '785', '742', '878']
['859', '933', '744', '493', '782']
['942', '733', '703', '390', '617']
['517', '643', '174', '681', '986']
['328', '86', '29', '968', '726']
['240', '956', '444', '22', '23']
['670', '750', '120', '812', '343']
['907', '283', '404', '441', '570']
['826', '712', '344', '189', '504']
['455', '177', '966', '383', '273']
['603', '500', '802', '292', '43']
['866', '58', '808', '949', '996']
['122', '97', '497', '543', '854']
['616', '515', '77', '219', '416']
['754', '129', '111', '906', '601']
['973', '611', '577', '76', '45']
['884', '914', '721', '359', '425']
['307', '158', '12', '15', '238']
['230', '630', '729', '53', '345']
['452', '880', '860', '795', '706']
['431', '41', '674', '679', '220']
['784', '692', '776', '582', '198']
['925', '401', '766', '214', '774']
['972', '380', '366', '580', '239']
['809', '424', '213', '125', '321']
['27', '668', '625', '536', '468']
['294', '886', '485', '772', '963']
['834', '430', '188', '688', '910']
