['357', '149', '305', '11', '310', '19', '10', '3', '56', '200', '2', '158', '5', '8', '224', '233', '116', '241', '16', '240', '182', '96', '418', '247']
['103', '147', '373', '48', '293', '40', '26', '44', '34', '15', '347', '378', '64', '202', '272', '128', '337', '76', '254', '206', '384', '274', '332', '232']
['325', '85', '92', '24', '261', '156', '127', '294', '87', '320', '140', '223', '150', '323', '331', '36', '154', '29', '169', '66', '89', '386', '159', '168']
['160', '0', '139', '1', '417', '20', '399', '25', '60', '88', '426', '313', '93', '352', '126', '69', '336', '370', '238', '108', '375', '12', '300', '228']
['148', '14', '17', '18', '30', '32', '39', '43', '45', '49', '50', '51', '52', '58', '59', '70', '72', '73', '75', '77', '78', '84', '86', '94']
['109', '31', '6', '193', '162', '9', '163', '282', '82', '57', '133', '197', '461', '263', '22', '13', '33', '434', '280', '7', '266', '53', '413', '38']
['180', '118', '172', '243', '438', '301', '457', '356', '430', '439', '319', '444', '95', '97', '102', '104', '106', '107', '111', '112', '113', '114', '115', '120']
['161', '123', '124', '129', '130', '131', '136', '137', '138', '142', '143', '144', '146', '165', '166', '167', '170', '173', '176', '177', '179', '181', '183', '184']
['83', '37', '401', '23', '27', '41', '141', '132', '207', '324', '90', '61', '71', '110', '198', '453', '63', '455', '408', '4', '235', '297', '152', '397']
['380', '171', '55', '404', '237', '54', '35', '81', '175', '121', '258', '201', '190', '164', '415', '101', '47', '213', '119', '355', '393', '409', '185', '186']
['288', '283', '330', '365', '303', '188', '189', '191', '194', '195', '196', '199', '203', '204', '205', '209', '210', '211', '216', '218', '219', '221', '222', '226']
['250', '98', '192', '42', '79', '174', '255', '354', '212', '374', '151', '225', '125', '257', '382', '344', '99', '412', '227', '345', '157', '215', '363', '220']
['46', '229', '230', '231', '234', '239', '242', '244', '246', '248', '251', '252', '256', '259', '260', '264', '265', '268', '269', '271', '273', '275', '276', '277']
['208', '117', '122', '278', '299', '134', '391', '473', '214', '287', '429', '463', '253', '187', '249', '279', '281', '284', '285', '286', '289', '290', '292', '295']
['153', '381', '135', '326', '341', '449', '435', '296', '298', '302', '304', '306', '307', '308', '309', '311', '312', '314', '316', '317', '318', '327', '329', '334']
['62', '385', '145', '407', '91', '68', '333', '178', '360', '321', '155', '377', '74', '291', '315', '28', '65', '245', '80', '236', '100', '262', '270', '350']
['420', '335', '338', '340', '342', '343', '346', '348', '349', '351', '353', '358', '359', '361', '362', '364', '366', '367', '369', '371', '372', '376', '379', '387']
['105', '322', '403', '445', '388', '389', '390', '392', '395', '396', '398', '400', '402', '405', '406', '410', '411', '414', '419', '421', '422', '423', '424', '425']
['466', '339', '267', '427', '428', '431', '432', '433', '436', '437', '440', '441', '442', '443', '446', '447', '448', '450', '451', '452', '454', '456', '458', '459']
['394', '21', '328', '368', '217', '476', '383', '416', '67', '460', '462', '464', '465', '467', '468', '469', '470', '471', '472', '474', '475', '477', '478', '479']
