['265', '164', '163', '165', '267', '162', '261', '166', '268', '270', '241', '161', '259', '260', '272', '273', '274', '216', '81', '202', '243', '160', '256', '257', '9', '144', '80', '99', '254', '0']
['218', '145', '146', '217', '219', '220', '1', '2', '3', '4', '5', '6', '11', '12', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29']
['221', '147', '148', '222', '149', '47', '150', '226', '182', '46', '48', '151', '227', '228', '7', '45', '152', '230', '8', '44', '153', '154', '233', '235', '236', '31', '32', '33', '39', '40']
['329', '175', '174', '326', '332', '333', '173', '316', '317', '318', '319', '321', '322', '324', '94', '185', '292', '310', '311', '312', '314', '248', '225', '93', '13', '30', '113', '74', '140', '158']
['229', '378', '178', '177', '369', '370', '371', '372', '373', '376', '379', '382', '384', '386', '387', '391', '393', '394', '395', '397', '398', '176', '349', '350', '351', '352', '354', '355', '356', '10']
['330', '41', '42', '43', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '77', '78', '79', '82', '83', '84', '85', '86', '87', '91', '92']
['307', '172', '171', '302', '303', '305', '308', '296', '297', '300', '301', '288', '169', '285', '286', '289', '75', '76', '64', '65', '66', '95', '96', '97', '98', '100', '101', '102', '103', '104']
['299', '105', '106', '109', '110', '111', '112', '114', '115', '116', '124', '125', '126', '134', '135', '136', '141', '142', '143', '170', '179', '181', '183', '184', '187', '188', '189', '190', '196', '198']
['284', '168', '167', '280', '281', '282', '276', '278', '279', '360', '180', '108', '107', '205', '133', '132', '131', '130', '203', '129', '128', '127', '200', '199', '89', '88', '90', '117', '118', '159']
['72', '71', '73', '70', '69', '68', '253', '67', '186', '197', '201', '204', '206', '207', '208', '212', '213', '214', '215', '223', '224', '231', '232', '234', '244', '245', '246', '247', '249', '250']
['238', '155', '156', '237', '239', '157', '240', '242', '37', '36', '38', '35', '34', '210', '251', '252', '255', '258', '262', '263', '264', '269', '271', '275', '277', '283', '287', '290', '291', '293']
['266', '294', '295', '298', '304', '306', '309', '313', '315', '320', '323', '325', '327', '328', '331', '334', '335', '336', '337', '338', '339', '340', '341', '342', '343', '344', '345', '346', '347', '348']
['121', '120', '122', '193', '119', '192', '123', '194', '191', '211', '195', '139', '138', '137', '209', '353', '357', '358', '359', '361', '363', '364', '365', '367', '368', '374', '375', '380', '383', '385']
['362', '366', '377', '381', '388', '389', '390', '392', '396', '399']
