['a331', 'a11', 'a55', 'a157', 'a416', 'a448', 'a98', 'a125', 'a340', 'a437', 'a53', 'a80']
['a296', 'a36', 'a41', 'a70', 'a180', 'a368', 'a430', 'a116', 'a385', 'a146', 'a406', 'a44']
['a47', 'a19', 'a135', 'a136', 'a326', 'a214', 'a268', 'a308', 'a309', 'a191', 'a345', 'a226']
['a276', 'a101', 'a106', 'a245', 'a348', 'a107', 'a151', 'a249', 'a219', 'a38', 'a156', 'a67']
['a230', 'a28', 'a51', 'a57', 'a446', 'a71', 'a165', 'a206', 'a427', 'a63', 'a225', 'a315']
['a212', 'a6', 'a94', 'a195', 'a420', 'a72', 'a140', 'a256', 'a474', 'a184', 'a293', 'a43']
['a412', 'a22', 'a45', 'a223', 'a244', 'a381', 'a282', 'a314', 'a49', 'a362', 'a462', 'a113']
['a394', 'a111', 'a162', 'a264', 'a123', 'a392', 'a52', 'a103', 'a307', 'a39', 'a240', 'a438']
['a215', 'a4', 'a132', 'a227', 'a266', 'a414', 'a418', 'a252', 'a376', 'a251', 'a387', 'a86']
['a237', 'a62', 'a92', 'a183', 'a188', 'a24', 'a97', 'a193', 'a369', 'a210', 'a301', 'a247']
['a207', 'a61', 'a109', 'a138', 'a37', 'a202', 'a222', 'a289', 'a302', 'a120', 'a171', 'a200']
['a110', 'a15', 'a163', 'a286', 'a290', 'a469', 'a99', 'a153', 'a213', 'a409', 'a436', 'a451']
['a313', 'a66', 'a128', 'a311', 'a40', 'a50', 'a190', 'a277', 'a147', 'a112', 'a130', 'a363']
['a291', 'a87', 'a160', 'a337', 'a17', 'a91', 'a413', 'a271', 'a288', 'a149', 'a168', 'a221']
['a198', 'a20', 'a134', 'a172', 'a205', 'a170', 'a250', 'a355', 'a452', 'a139', 'a425', 'a328']
['a150', 'a34', 'a42', 'a60', 'a73', 'a77', 'a104', 'a179', 'a201', 'a422', 'a75', 'a114']
['a82', 'a69', 'a76', 'a161', 'a453', 'a90', 'a259', 'a332', 'a401', 'a16', 'a88', 'a470']
['a388', 'a84', 'a126', 'a164', 'a410', 'a216', 'a260', 'a18', 'a108', 'a185', 'a324', 'a374']
['a404', 'a58', 'a74', 'a235', 'a411', 'a177', 'a384', 'a329', 'a32', 'a137', 'a267', 'a316']
['a280', 'a118', 'a173', 'a399', 'a81', 'a121', 'a439', 'a449', 'a434', 'a292', 'a35', 'a350']
['a444', 'a9', 'a119', 'a211', 'a372', 'a167', 'a415', 'a175', 'a359', 'a429', 'a465', 'a327']
['a186', 'a8', 'a102', 'a124', 'a455', 'a96', 'a322', 'a377', 'a467', 'a208', 'a242', 'a255']
['a284', 'a10', 'a194', 'a254', 'a390', 'a105', 'a335', 'a248', 'a285', 'a400', 'a421', 'a339']
['a239', 'a64', 'a100', 'a243', 'a389', 'a117', 'a336', 'a229', 'a27', 'a373', 'a281', 'a54']
['a367', 'a26', 'a141', 'a178', 'a204', 'a304', 'a479', 'a192', 'a318', 'a463', 'a351', 'a398']
['a274', 'a23', 'a48', 'a78', 'a197', 'a83', 'a129', 'a236', 'a358', 'a199', 'a238', 'a273']
['a258', 'a25', 'a127', 'a297', 'a375', 'a454', 'a456', 'a272', 'a333', 'a79', 'a397', 'a349']
['a56', 'a13', 'a169', 'a305', 'a182', 'a321', 'a325', 'a343', 'a159', 'a232', 'a312', 'a283']
['a354', 'a218', 'a295', 'a298', 'a154', 'a241', 'a257', 'a85', 'a217', 'a317', 'a14', 'a357']
['a144', 'a189', 'a262', 'a360', 'a417', 'a31', 'a402', 'a323', 'a261', 'a269', 'a338', 'a405']
['a59', 'a3', 'a346', 'a472', 'a476', 'a395', 'a466', 'a176', 'a391', 'a473', 'a148', 'a319']
['a143', 'a89', 'a166', 'a181', 'a270', 'a7', 'a233', 'a382', 'a246', 'a330', 'a431', 'a253']
['a464', 'a122', 'a265', 'a361', 'a303', 'a366', 'a386', 'a12', 'a383', 'a393', 'a457', 'a423']
['a370', 'a68', 'a445', 'a155', 'a341', 'a158', 'a231', 'a29', 'a310', 'a300', 'a352', 'a344']
['a228', 'a21', 'a263', 'a433', 'a203', 'a342', 'a371', 'a224', 'a279', 'a356', 'a424', 'a378']
['a95', 'a33', 'a133', 'a196', 'a408', 'a458', 'a187', 'a380', 'a426', 'a443', 'a475', 'a294']
['a46', 'a407', 'a30', 'a353', 'a364', 'a379', 'a419', 'a450', 'a403', 'a468', 'a334', 'a142']
['a209', 'a1', 'a480', 'a93', 'a299', 'a131', 'a478', 'a471', 'a115', 'a287', 'a365', 'a447']
['a320', 'a2', 'a275', 'a278', 'a306', 'a347', 'a435', 'a460', 'a145', 'a432', 'a477', 'a152']
['a220', 'a5', 'a65', 'a234', 'a441', 'a174', 'a440', 'a428', 'a461', 'a442', 'a459', 'a396']
