['a393', 'a373', 'a118', 'a98', 'a105', 'a3', 'a396', 'a122', 'a268', 'a39', 'a168', 'a308', 'a116', 'a89', 'a272', 'a167', 'a134', 'a341', 'a18', 'a319']
['a351', 'a170', 'a294', 'a114', 'a261', 'a125', 'a305', 'a25', 'a290', 'a388', 'a38', 'a30', 'a175', 'a6', 'a79', 'a297', 'a135', 'a375', 'a355', 'a263']
['a16', 'a48', 'a44', 'a211', 'a204', 'a47', 'a210', 'a344', 'a280', 'a291', 'a201', 'a283', 'a245', 'a117', 'a110', 'a238', 'a97', 'a32', 'a66', 'a330']
['a253', 'a179', 'a41', 'a196', 'a51', 'a267', 'a29', 'a311', 'a364', 'a293', 'a52', 'a180', 'a35', 'a284', 'a252', 'a152', 'a58', 'a151', 'a212', 'a281']
['a146', 'a72', 'a206', 'a10', 'a240', 'a361', 'a249', 'a86', 'a184', 'a273', 'a395', 'a92', 'a214', 'a241', 'a255', 'a0', 'a360', 'a315', 'a27', 'a243']
['a398', 'a218', 'a130', 'a202', 'a11', 'a367', 'a37', 'a384', 'a115', 'a337', 'a137', 'a102', 'a256', 'a113', 'a63', 'a322', 'a107', 'a391', 'a334', 'a192']
['a93', 'a22', 'a172', 'a222', 'a7', 'a149', 'a96', 'a88', 'a20', 'a23', 'a153', 'a147', 'a271', 'a174', 'a162', 'a387', 'a13', 'a74', 'a119', 'a327']
['a369', 'a73', 'a46', 'a275', 'a82', 'a138', 'a296', 'a377', 'a141', 'a193', 'a101', 'a332', 'a65', 'a57', 'a331', 'a225', 'a339', 'a154', 'a166', 'a194']
['a232', 'a62', 'a24', 'a178', 'a216', 'a209', 'a247', 'a370', 'a389', 'a12', 'a350', 'a258', 'a123', 'a95', 'a380', 'a78', 'a145', 'a244', 'a318', 'a136']
['a354', 'a234', 'a36', 'a346', 'a399', 'a239', 'a45', 'a242', 'a264', 'a81', 'a251', 'a303', 'a347', 'a164', 'a356', 'a392', 'a139', 'a385', 'a254', 'a287']
['a106', 'a142', 'a197', 'a26', 'a190', 'a383', 'a382', 'a68', 'a94', 'a394', 'a307', 'a363', 'a4', 'a336', 'a345', 'a140', 'a301', 'a70', 'a276', 'a366']
['a17', 'a207', 'a300', 'a69', 'a226', 'a260', 'a103', 'a124', 'a316', 'a372', 'a8', 'a217', 'a40', 'a109', 'a188', 'a235', 'a90', 'a236', 'a126', 'a329']
['a333', 'a390', 'a150', 'a187', 'a15', 'a1', 'a269', 'a295', 'a75', 'a127', 'a343', 'a28', 'a282', 'a185', 'a21', 'a221', 'a144', 'a53', 'a362', 'a161']
['a120', 'a55', 'a250', 'a381', 'a182', 'a176', 'a155', 'a76', 'a353', 'a129', 'a158', 'a286', 'a228', 'a248', 'a338', 'a324', 'a348', 'a112', 'a223', 'a199']
['a61', 'a321', 'a169', 'a237', 'a108', 'a2', 'a349', 'a352', 'a314', 'a157', 'a379', 'a128', 'a200', 'a77', 'a14', 'a376', 'a306', 'a274', 'a312', 'a358']
['a368', 'a342', 'a213', 'a59', 'a99', 'a133', 'a230', 'a270', 'a205', 'a299', 'a9', 'a371', 'a195', 'a181', 'a159', 'a288', 'a85', 'a279', 'a104', 'a335']
['a328', 'a156', 'a215', 'a220', 'a309', 'a191', 'a189', 'a374', 'a325', 'a265', 'a285', 'a229', 'a60', 'a33', 'a71', 'a54', 'a340', 'a67', 'a302', 'a233']
['a277', 'a359', 'a227', 'a80', 'a143', 'a111', 'a246', 'a257', 'a262', 'a183', 'a42', 'a186', 'a198', 'a64', 'a231', 'a292', 'a323', 'a83', 'a278', 'a87']
['a320', 'a397', 'a386', 'a19', 'a165', 'a132', 'a121', 'a259', 'a56', 'a160', 'a91', 'a171', 'a304', 'a100', 'a148', 'a266', 'a43', 'a177', 'a50', 'a289']
['a365', 'a224', 'a5', 'a173', 'a378', 'a317', 'a49', 'a84', 'a31', 'a34', 'a203', 'a208', 'a357', 'a163', 'a131', 'a310', 'a313', 'a298', 'a326', 'a219']
