['7', '28', 'H0']
['A54', 'B54', 'C54']
['B52', 'A52', 'C52']
['E17', 'D17', 'G17']
['B18', 'A18', 'D18']
['B1', 'E0', 'F0']
['D20', 'A20', 'C20']
['A30', 'B30', 'D30']
['E2', 'H2', 'H1']
['B0', 'A0', 'D0']
['16', '27', 'G0']
['H42', 'H41', 'E42']
['C12', 'A12', 'D12']
['G18', 'E18', 'F18']
['F50', 'G1', 'A3']
['A31', 'B31', 'C31']
['F7', 'A7', 'E7']
['A8', 'B8', 'D8']
['F24', 'A24', 'E24']
['G23', 'E23', 'F23']
['G5', 'B3', 'C3']
['A37', 'B37', 'D37']
['C11', 'C10', 'A11']
['B12', 'F3', 'H3']
['H25', 'E25', 'H26']
['H22', 'H21', 'E22']
['38', '58', 'C4']
['D1', 'E1', 'F1']
['D43', 'A43', 'B43']
['3', '26', 'H4']
['B22', 'A22', 'C22']
['D35', 'A35', 'B35']
['G40', 'A5', 'B5']
['F25', 'C5', 'B7']
['B27', 'A27', 'D27']
['H31', 'E31', 'F31']
['H20', 'E20', 'F20']
['B28', 'A28', 'D28']
['H12', 'E12', 'F12']
['A42', 'B42', 'D42']
['F19', 'E19', 'D19']
['51', '55', 'G7']
['56', '54', 'H7']
['A48', 'B48', 'D48']
['F32', 'A32', 'B32']
['F14', 'A14', 'E14']
['14', '25', 'F9']
['E50', 'D50', 'H50']
['C34', 'A34', 'D34']
['H11', 'E11', 'F11']
['C1', 'C0', 'G9']
['E27', 'F27', 'H27']
['59', '53', 'A10']
['C9', 'C8', 'A9']
['F43', 'E43', 'G43']
['E6', 'F6', 'G6']
['C36', 'A36', 'D36']
['H10', 'E10', 'D10']
['B40', 'A40', 'D40']
['G2', 'B10', 'F10']
['E37', 'F37', 'G37']
['G47', 'E47', 'F47']
['G22', 'G10', 'G11']
['B15', 'A15', 'D15']
['G30', 'E30', 'F30']
['F21', 'A21', 'B21']
['E26', 'D26', 'F26']
['32', '52', 'G12']
['H5', 'H6', 'C13']
['E15', 'F15', 'G15']
['E29', 'D29', 'F29']
['E4', 'D4', 'G4']
['G3', 'E3', 'D3']
['E5', 'D5', 'F5']
['H19', 'H13', 'B14']
['D22', 'C14', 'D14']
['E41', 'D41', 'F41']
['C30', 'H14', 'C15']
['C29', 'C28', 'A29']
['F17', 'A17', 'B17']
['C19', 'B16', 'H17']
['D53', 'A53', 'B53']
['F2', 'H18', 'G20']
['H48', 'H47', 'E48']
['G27', 'C21', 'H23']
['C16', 'A16', 'D16']
['F34', 'E34', 'G34']
['D31', 'G24', 'H24']
['F39', 'A39', 'E39']
['F16', 'E16', 'G16']
['E40', 'F40', 'G25']
['45', '50', 'G26']
['G49', 'E28', 'F28']
['B20', 'G28', 'H28']
['C48', 'C49', 'D49']
['G41', 'B29', 'G29']
['F35', 'E35', 'G35']
['D47', 'A47', 'B47']
['A49', 'F49', 'H29']
['C7', 'C6', 'D7']
['G14', 'H30', 'H33']
['C17', 'B34', 'H34']
['A41', 'C41', 'C40']
['D23', 'A23', 'C23']
['G13', 'E13', 'F13']
['H40', 'H39', 'C35']
['B9', 'D9', 'E9']
['G42', 'B36', 'A38']
['36', '49', 'B38']
['E32', 'C38', 'D38']
['G48', 'F38', 'G38']
['F4', 'A4', 'B4']
['A50', 'B50', 'C50']
['H38', 'H37', 'E38']
['E21', 'D21', 'G21']
['F8', 'E8', 'H8']
['11', '24', 'B39']
['H32', 'C39', 'D39']
['G19', 'G39', 'C42']
['B44', 'F42', 'C43']
['B51', 'A51', 'D51']
['B41', 'A45', 'B45']
['D52', 'E52', 'F52']
['F46', 'A46', 'B46']
['A26', 'B26', 'C26']
['C53', 'C45', 'D45']
['A19', 'B19', 'E45']
['D13', 'A13', 'B13']
['D6', 'A6', 'B6']
['F22', 'F45', 'G45']
['H36', 'H35', 'H45']
['B23', 'H46', 'F48']
['A44', 'C44', 'F44']
['40', '48', 'C51']
['G33', 'E33', 'F33']
['E44', 'G44', 'H44']
['E49', 'H49', 'E51']
['E46', 'D46', 'G46']
['H43', 'F51', 'G51']
['D25', 'B25', 'C25']
['C24', 'D24', 'B24']
['31', '47', 'H51']
['A25', 'G52', 'H52']
['29', '23', 'E53']
['C18', 'F53', 'G53']
['E36', 'F36', 'G36']
['H15', 'H16', 'H53']
['H9', 'G54', 'H54']
['G8', '1', '2']
['57', '46', '4']
['G31', '5', '6']
['12', '22', '0']
['G50', '8', '9']
['C27', '10', '13']
['C46', 'C47', '15']
['D54', 'E54', 'F54']
['D44', '17', '18']
['G32', '19', '20']
['A2', 'B2', 'C2']
['A1', '21', '33']
['D32', 'C32', 'C33']
['C37', '34', '35']
['D2', '37', '39']
['43', '44', '30']
['D33', 'A33', 'B33']
['D11', 'B11', '41']
['B49', '42']
