['a232', 'a231', 'a233', 'a236', 'a235', 'a234', 'a230', 'a238', 'a0', 'a6']
['a27', 'a22', 'a23', 'a29', 'a26', 'a28', 'a25', 'a20', 'a9', 'a7']
['a69', 'a10', 'a13', 'a61', 'a68', 'a65', 'a11', 'a19', 'a16', 'a66']
['a91', 'a97', 'a94', 'a93', 'a1', 'a4', 'a2', 'a5', 'a8', 'a15']
['a152', 'a150', 'a155', 'a157', 'a151', 'a12', 'a204', 'a201', 'a30', 'a38']
['a63', 'a33', 'a34', 'a36', 'a37', 'a32', 'a35', 'a39', 'a47', 'a58']
['a49', 'a40', 'a41', 'a48', 'a44', 'a42', 'a43', 'a192', 'a64', 'a85']
['a143', 'a148', 'a147', 'a149', 'a145', 'a70', 'a77', 'a72', 'a76', 'a73']
['a220', 'a222', 'a227', 'a229', 'a228', 'a226', 'a221', 'a224', 'a71', 'a78']
['a211', 'a210', 'a212', 'a218', 'a216', 'a215', 'a214', 'a213', 'a74', 'a75']
['a121', 'a80', 'a84', 'a82', 'a89', 'a108', 'a118', 'a120', 'a127', 'a126']
['a190', 'a193', 'a194', 'a203', 'a198', 'a62', 'a90', 'a206', 'a200', 'a202']
['a131', 'a132', 'a133', 'a139', 'a138', 'a134', 'a124', 'a122', 'a123', 'a125']
['a196', 'a197', 'a67', 'a95', 'a86', 'a191', 'a60', 'a87', 'a83', 'a96']
['a24', 'a129', 'a128', 'a130', 'a135', 'a158', 'a159', 'a156', 'a154', 'a160']
['a116', 'a110', 'a115', 'a114', 'a112', 'a111', 'a117', 'a165', 'a164', 'a161']
['a46', 'a169', 'a167', 'a166', 'a168', 'a163', 'a175', 'a180', 'a183', 'a185']
['a171', 'a170', 'a173', 'a172', 'a178', 'a176', 'a174', 'a177', 'a181', 'a189']
['a146', 'a140', 'a141', 'a144', 'a182', 'a188', 'a187', 'a186', 'a209', 'a195']
['a119', 'a199', 'a205', 'a208', 'a219', 'a225', 'a239', 'a240', 'a248', 'a241']
['a106', 'a100', 'a107', 'a103', 'a105', 'a104', 'a109', 'a243', 'a242', 'a249']
['a17', 'a18', 'a14', 'a98', 'a88', 'a92', 'a207', 'a81', 'a99', 'a246']
['a52', 'a57', 'a51', 'a59', 'a50', 'a54', 'a247', 'a3', 'a21', 'a31']
['a79', 'a45', 'a53', 'a101', 'a102', 'a113', 'a136', 'a137', 'a142', 'a153']
['a55', 'a56', 'a162', 'a179', 'a184', 'a217', 'a223', 'a237', 'a244', 'a245']
