['200', '0', '6', '8', '81', '119', '291', '369', '49', '246', '380']
['93', '4', '7', '40', '60', '73', '149', '195', '220', '414', '279']
['397', '3', '14', '30', '44', '79', '169', '203', '387', '134', '383']
['15', '13', '16', '23', '38', '109', '117', '256', '375', '212', '313']
['174', '1', '17', '42', '53', '55', '61', '95', '57', '150', '186']
['304', '5', '21', '26', '47', '179', '341', '462', '36', '172', '236']
['29', '9', '11', '25', '32', '59', '89', '442', '102', '269', '315']
['372', '10', '20', '27', '51', '78', '90', '311', '421', '72', '358']
['478', '22', '28', '37', '75', '83', '104', '167', '433', '80', '365']
['205', '18', '52', '54', '69', '166', '173', '444', '103', '155', '406']
['417', '35', '48', '64', '157', '163', '192', '110', '177', '370', '459']
['257', '50', '62', '68', '121', '126', '231', '474', '84', '178', '199']
['2', '34', '67', '101', '125', '138', '63', '107', '249', '385', '156']
['344', '45', '46', '85', '106', '108', '159', '206', '229', '243', '258']
['12', '31', '56', '65', '74', '88', '190', '112', '165', '255', '281']
['483', '33', '66', '77', '114', '151', '154', '254', '97', '234', '225']
['479', '70', '76', '87', '100', '161', '335', '115', '189', '86', '284']
['133', '58', '94', '131', '147', '168', '280', '376', '317', '318', '439']
['96', '41', '118', '140', '141', '230', '283', '260', '343', '145', '153']
['388', '82', '111', '122', '194', '214', '241', '308', '184', '288', '432']
['198', '92', '124', '128', '142', '183', '392', '460', '298', '393', '239']
['485', '91', '164', '191', '208', '211', '347', '350', '367', '136', '451']
['43', '98', '99', '123', '175', '193', '196', '232', '222', '261', '299']
['105', '113', '130', '202', '210', '366', '435', '438', '457', '306', '357']
['144', '129', '137', '146', '162', '245', '276', '320', '171', '223', '322']
['342', '120', '139', '176', '181', '377', '450', '464', '300', '289', '323']
['148', '187', '201', '224', '238', '329', '410', '262', '359', '424', '217']
['409', '135', '160', '204', '248', '290', '312', '170', '293', '324', '465']
['127', '188', '216', '218', '285', '391', '418', '305', '237', '303', '338']
['158', '213', '240', '247', '314', '332', '336', '316', '321', '490', '328']
['413', '221', '233', '264', '274', '297', '275', '399', '428', '271', '253']
['116', '215', '251', '265', '277', '282', '345', '475', '381', '461', '477']
['143', '226', '267', '278', '349', '352', '384', '446', '447', '482', '488']
['185', '197', '227', '295', '362', '400', '494', '363', '412', '492', '270']
['71', '180', '219', '228', '353', '416', '330', '337', '426', '440', '487']
['395', '259', '263', '266', '268', '430', '434', '287', '469', '403', '286']
['182', '272', '296', '307', '356', '468', '319', '470', '472', '467', '360']
['24', '242', '273', '326', '361', '407', '499', '339', '498', '355', '390']
['463', '292', '301', '302', '348', '473', '374', '448', '420', '493', '437']
['244', '250', '340', '408', '415', '354', '411', '454', '495', '456', '458']
['19', '294', '310', '331', '389', '422', '368', '351', '436', '378', '327']
['132', '235', '325', '401', '443', '484', '453', '364', '423', '489', '481']
['207', '333', '398', '425', '496', '452', '471', '402', '466', '497', '491']
['209', '371', '427', '431', '486', '441', '480', '334', '309', '373', '394']
['39', '379', '386', '404', '455', '445', '419', '405', '429', '396', '476']
['382']
['346']
['449']
['152']
['252']
