['313', '4', '5', '6', '23', '38', '45', '53', '59', '82', '84', '90', '98', '120', '178', '201', '367', '463', '449', '37', '272', '405', '432']
['205', '1', '2', '18', '21', '25', '28', '33', '35', '44', '62', '125', '257', '51', '64', '89', '166', '297', '453', '346', '334', '406', '266']
['220', '7', '9', '14', '17', '19', '24', '34', '42', '56', '86', '93', '130', '171', '180', '185', '260', '390', '455', '117', '165', '349', '428']
['94', '8', '10', '16', '26', '31', '36', '47', '50', '73', '417', '442', '465', '223', '145', '411', '372', '276', '235', '317', '335', '244', '475']
['219', '3', '11', '15', '27', '39', '40', '68', '74', '107', '109', '114', '135', '143', '147', '292', '461', '472', '43', '360', '359', '340', '250']
['290', '12', '20', '29', '30', '41', '48', '67', '75', '83', '92', '137', '149', '159', '191', '427', '430', '302', '480', '81', '134', '289', '397']
['325', '22', '46', '49', '66', '96', '97', '103', '146', '173', '177', '184', '229', '262', '371', '167', '284', '269', '306', '395', '440', '439', '483']
['202', '52', '55', '57', '60', '70', '78', '85', '95', '118', '126', '157', '158', '195', '298', '328', '481', '87', '131', '152', '402', '240', '218']
['13', '116', '343', '366', '227', '255', '259', '271', '304', '301', '170', '232', '295', '71', '320', '222', '256', '362', '378', '155', '365', '150', '373']
['469', '54', '58', '61', '76', '80', '123', '127', '142', '212', '216', '246', '303', '338', '339', '344', '345', '72', '139', '230', '394', '433', '443']
['101', '69', '77', '79', '249', '409', '464', '104', '482', '129', '393', '221', '361', '237', '169', '200', '404', '110', '190', '188', '183', '471', '122']
['179', '63', '65', '100', '105', '132', '136', '151', '161', '450', '187', '380', '300', '214', '99', '140', '385', '225', '456', '437', '102', '410', '353']
['193', '88', '91', '119', '121', '138', '144', '153', '164', '172', '348', '438', '445', '197', '194', '444', '423', '160', '174', '470', '323', '268', '228']
['258', '106', '113', '148', '163', '181', '324', '283', '414', '474', '115', '128', '196', '252', '282', '337', '396', '308', '209', '452', '263', '351', '245']
['375', '108', '111', '133', '156', '162', '176', '182', '189', '208', '211', '224', '243', '273', '327', '213', '253', '293', '356', '446', '389', '387', '267']
['312', '112', '124', '186', '198', '204', '210', '226', '238', '251', '296', '441', '377', '392', '314', '424', '239', '265', '270', '374', '478', '316', '386']
['476', '141', '154', '192', '236', '241', '248', '286', '291', '333', '357', '425', '457', '468', '206', '279', '321', '341', '429', '436', '254', '287', '347']
['350', '175', '199', '203', '207', '215', '231', '280', '310', '479', '355', '275', '278', '368', '399', '277', '305', '319', '383', '352', '398', '448', '431']
['168', '382', '217', '418', '369', '261', '426', '309', '247', '234', '307', '358', '342', '408', '401', '415', '462', '318', '332', '331', '388', '460', '466']
['326', '233', '413', '381', '412', '421', '376', '285', '435', '451', '459', '363', '370', '330', '364', '281', '288', '354', '454', '264', '447', '467', '336']
['391', '274', '299', '315', '322', '458', '419', '311', '379', '484', '416', '407', '473', '384', '294', '242', '434', '400', '477', '403', '485']
['32', '422', '329', '420']
