['367', '370', '460', '337', '365', '461', '383', '438', '364', '378', '466', '104']
['218', '217', '216', '239', '236', '237', '183', '230', '194', '229', '273', '228']
['281', '198', '286', '195', '283', '253', '203', '248', '276', '252', '180', '277']
['338', '345', '381', '344', '458', '374', '347', '447', '457', '373', '339', '324']
['5', '10', '4', '78', '7', '133', '6', '67', '100', '0', '132', '3']
['200', '303', '311', '306', '288', '308', '304', '309', '255', '211', '305', '302']
['201', '158', '157', '400', '1', '190', '402', '401', '463', '2', '34', '185']
['165', '164', '167', '267', '159', '300', '275', '212', '272', '215', '219', '95']
['425', '430', '424', '342', '397', '427', '426', '331', '396', '420', '353', '423']
['225', '224', '182', '171', '227', '181', '179', '204', '214', '176', '205', '209']
['36', '43', '37', '59', '136', '38', '137', '138', '45', '81', '54', '142']
['127', '130', '120', '64', '125', '97', '143', '42', '124', '98', '140', '141']
['380', '327', '330', '335', '328', '413', '329', '391', '334', '105', '50', '61']
['160', '162', '161', '245', '234', '231', '232', '163', '289', '284', '233', '295']
['156', '65', '51', '89', '87', '99', '23', '39', '155', '25', '93', '148']
['372', '379', '395', '382', '387', '377', '349', '440', '376', '450', '443', '388']
['41', '114', '111', '112', '103', '119', '96', '8', '113', '19', '106', '118']
['316', '318', '317', '315', '322', '390', '323', '368', '319', '445', '320', '456']
['46', '13', '12', '14', '35', '21', '57', '32', '20', '134', '33', '135']
['437', '436', '442', '354', '343', '409', '439', '346', '336', '408', '432', '341']
['282', '279', '287', '264', '271', '274', '269', '241', '186', '268', '175', '270']
['417', '410', '416', '453', '363', '419', '446', '452', '371', '411', '333', '455']
['312', '313', '27', '94', '91', '80', '29', '31', '102', '76', '47', '28']
['11', '144', '145', '151', '146', '88', '154', '153', '149', '152', '110', '66']
['404', '407', '405', '351', '399', '384', '398', '362', '441', '369', '434', '326']
['291', '299', '188', '294', '296', '221', '292', '297', '243', '199', '293', '290']
['63', '116', '117', '68', '48', '74', '15', '69', '49', '73', '62', '26']
['250', '247', '240', '184', '263', '115', '60', '55', '70', '85', '40', '24']
['220', '222', '56', '30', '58', '84', '44', '72', '107', '92', '83', '71']
['332', '435', '52', '109', '242', '265', '266', '189', '249', '285', '258', '251']
['18', '16', '101', '17', '79', '22', '90', '82', '77', '150', '147', '139']
['223', '226', '193', '192', '168', '298', '166', '278', '206', '191', '406', '414']
['314', '357', '350', '356', '393', '459', '386', '462', '385', '429', '389', '418']
['202', '197', '169', '196', '170', '259', '177', '213', '262', '257', '256', '174']
['280', '187', '359', '375', '348', '392', '465', '421', '448', '415', '325', '403']
['321', '433', '412', '467', '451', '444', '340', '360', '358', '366', '428', '422']
['244', '307', '310', '173', '172', '178', '235', '301', '238', '246', '431', '394']
['261', '254', '260', '207', '210', '208', '361', '454', '464', '449', '352', '355']
['121', '122', '129', '9', '128', '75', '131', '108', '123', '126', '86', '53']
