['DougMcDermott', 'EnesKanter']
['NemanjaBjelica', 'AndrewWiggins']
['NeneHilario', 'JamesHarden']
['BradleyBeal', 'OttoPorter']
['BamAdebayo', 'JoshRichardson']
['AllenCrabbe', 'SpencerDinwiddie']
['KyleKorver', 'JeffGreen']
['GarrettTemple', 'BogdanBogdanovic']
['JonasJerebko', 'DonovanMitchell']
['JaeCrowder', 'TristanThompson']
['TyusJones', 'KarlAnthonyTowns']
['MarcusMorris', 'JaysonTatum']
['BlakeGriffin', 'TobiasHarris']
['DenzelValentine', 'LauriMarkkanen']
['JasonTerry', 'EricBledsoe']
['LukeKennard', 'StanleyJohnson']
['JonathonSimmons', 'AaronGordon']
['AlJefferson', 'ThaddeusYoung']
['RussellWestbrook', 'PaulGeorge']
['JeramiGrant', 'CarmeloAnthony']
['KhrisMiddleton', 'TonySnell']
['TJMcConnell', 'RobertCovington']
['TomasSatoransky', 'MarcinGortat']
['AlexAbrines', 'StevenAdams']
['ETwaunMoore', 'DariusMiller']
['DannyGreen', 'PattyMills']
['WesleyJohnson', 'DeAndreJordan']
['ShabazzMuhammad', 'TajGibson']
['RaymondFelton', 'AndreRoberson']
['SergeIbaka', 'PascalSiakam']
['JusufNurkic', 'CJMcCollum']
['TylerZeller', 'DeMarreCarroll']
['JabariParker', 'JohnHenson']
['TyrekeEvans', 'MarcGasol']
['JamalCrawford', 'JeffTeague']
['BrandonIngram', 'KentaviousCaldwellPope']
['BrookLopez', 'KyleKuzma']
['JoseCalderon', 'AronBaynes']
['MauriceHarkless', 'DamianLillard']
['KembaWalker', 'DwightHoward']
['JrueHoliday', 'RajonRondo']
['RoyceONeale', 'JoeIngles']
['LanceStephenson', 'VictorOladipo']
['ZachCollins', 'EvanTurner']
['JordanClarkson', 'JuliusRandle']
['JonasValanciunas', 'JakobPoeltl']
['GeorgeHill', 'WillieCauleyStein']
['CourtneyLee', 'MichaelBeasley']
['JamesEnnis', 'DillonBrooks']
['RichaunHolmes', 'DarioSaric']
['HarrisonBarnes', 'WesleyMatthews']
['DavidNwaba', 'JerianGrant']
['JeremyLamb', 'MichaelCarterWilliams']
['LaMarcusAldridge', 'KyleAnderson']
['JustiseWinslow', 'GoranDragic']
['TJWarren', 'DraganBender']
['TorreyCraig', 'JamalMurray']
['MarioHezonja', 'EvanFournier']
['AnthonyDavis', 'JameerNelson']
['JustinHoliday', 'CristianoFelicio']
['BuddyHield', 'DeAaronFox']
['PatrickPatterson', 'DanielTheis']
['TreyLyles', 'NikolaJokic']
['ShelvinMack', 'NikolaVucevic']
['WesleyIwundu', 'ElfridPayton']
['RudyGay', 'PauGasol']
['JohnCollins', 'DewayneDedmon']
['PatrickMcCaw', 'KlayThompson']
['OGAnunoby', 'DelonWright']
['MasonPlumlee', 'WilsonChandler']
['KristapsPorzingis', 'KyleOQuinn']
['KrisDunn', 'PaulZipser']
['JodieMeeks', 'MarkieffMorris']
['KellyOlynyk', 'JamesJohnson']
['DejounteMurray', 'BrynForbes']
['BismackBiyombo', 'RondaeHollisJefferson']
['TreveonGraham', 'CarisLeVert']
['ZazaPachulia', 'KevinDurant']
['KevinLove', 'QuincyAcy']
['DarrenCollison', 'BojanBogdanovic']
['MalikMonk', 'DAngeloRussell']
['KostaKoufos', 'ZachRandolph']
['BenSimmons', 'JoelEmbiid']
['FrankKaminsky', 'DevinHarris']
['AnthonyTolliver', 'ReggieJackson']
['MarioChalmers', 'JarellMartin']
['ReggieBullock', 'LangstonGalloway']
['HassanWhiteside', 'DionWaiters']
['AveryBradley', 'SalahMejri']
['JoshJackson', 'DevinBooker']
['CoryJoseph', 'MylesTurner']
['FredVanVleet', 'CJMiles']
['BobbyPortis', 'TrevorAriza']
['WayneEllington', 'EricGordon']
['DanteCunningham', 'ClintCapela']
['DJAugustin', 'RyanAnderson']
['CoreyBrewer', 'LonzoBall']
['TylerJohnson', 'LucMbahaMoute']
['KentBazemore', 'MarcoBelinelli']
['IshSmith', 'GeraldGreen']
['DirkNowitzki', 'DwightPowell']
['TaureanWallerPrince', 'ErsanIlyasova']
['LouWilliams', 'AustinRivers']
['AndreDrummond', 'DomantasSabonis']
['MarcusSmart', 'AlHorford']
['JaylenBrown', 'TerryRozier']
['ShabazzNapier', 'EdDavis']
['WillBarton', 'PaulMillsap']
['IanClark', 'JoeYoung']
['MarvinWilliams', 'MontrezlHarrell']
['LeBronJames', 'SindariusThornwell']
['DwyaneWade', 'MilosTeodosic']
['ThonMaker', 'MalcolmBrogdon']
['DeMarcusCousins', 'SamDekker']
['IsaiahTaylor', 'MikeMuscala']
['SemiOjeleye', 'KyrieIrving']
['MichaelKiddGilchrist', 'JoshHart']
['DraymondGreen', 'AndreIguodala']
['JarrettJack', 'LanceThomas']
['SkalLabissiere', 'JustinJackson']
['JohnWall', 'MikeScott']
['GiannisAntetokounmpo', 'LarryNance']
['DavisBertans', 'ManuGinobili']
['NickYoung', 'ShaunLivingston']
['JarrettAllen', 'JoeHarris']
['NikolaMirotic', 'JaMychalGreen']
['JoshHuestis', 'AndrewHarrison']
['KyleLowry', 'BenMcLemore']
['SterlingBrown', 'DeyontaDavis']
['RobinLopez', 'TroyDaniels']
['JimmyButler', 'GorguiDieng']
['TimHardaway', 'AlexLen']
['AlFarouqAminu', 'TysonChandler']
['YogiFerrell', 'JJBarea']
['DennisSmith', 'MaxiKleber']
['DeMarDeRozan', 'JaredDudley']
['StephenCurry', 'DavidWest']
['FrankNtilikina', 'DerrickFavors']
['MarqueseChriss', 'TylerUlis']
['KellyOubre', 'IanMahinmi']
['ChrisPaul', 'PJTucker']
['JJRedick', 'AmirJohnson']
['CediOsman', 'RodneyHood']
['JerrydBayless', 'TimotheLuwawuCabarrot']
['RudyGobert', 'RickyRubio']
['GaryHarris', 'EmmanuelMudiay']
['DennisSchroder', 'MalcolmDelaney']
['JRSmith', 'AlecBurks']
['PatConnaughton', 'EkpeUdoh']
['NicolasBatum']
