['296', '29', '36', '47', '90', '141', '263', '489', '197', '232', '394', '470', '178', '289', '317', '57', '100', '273', '493', '74', '239', '361', '435', '165', '148', '166', '484', '175', '482', '44', '285', '182', '377', '34', '452', '387', '343', '12', '126']
['91', '8', '79', '214', '135', '208', '327', '312', '268', '200', '288', '352', '191', '210', '15', '335', '384', '164', '190', '103', '149', '334', '401', '132', '185', '0', '369', '379', '303', '340', '356', '398', '337', '256', '181', '480', '354', '205', '431']
['142', '7', '119', '124', '172', '127', '241', '322', '219', '231', '325', '220', '436', '360', '121', '346', '418', '308', '365', '276', '11', '188', '101', '331', '433', '114', '283', '326', '247', '336', '286', '66', '167', '267', '488', '422', '359', '221', '203']
['128', '21', '25', '251', '257', '202', '344', '495', '324', '351', '152', '22', '378', '368', '446', '471', '187', '383', '492', '87', '282', '246', '444', '477', '240', '41', '419', '382', '290', '442', '151', '475', '64', '75', '104', '209', '120', '67', '206']
['323', '40', '130', '397', '270', '287', '150', '342', '153', '195', '250', '403', '278', '395', '415', '345', '46', '409', '277', '98', '410', '385', '125', '207', '112', '390', '376', '328', '341', '85', '434', '468', '466', '106', '43', '169', '456', '329', '408']
['405', '35', '199', '212', '264', '4', '72', '37', '48', '138', '131', '284', '58', '215', '63', '86', '1', '51', '295', '279', '95', '453', '417', '266', '355', '402', '372', '363', '302', '235', '476', '414', '391', '366', '62', '437', '472', '399', '404']
['438', '18', '70', '73', '122', '145', '373', '497', '60', '319', '486', '143', '20', '491', '305', '420', '463', '448', '226', '416', '462', '458', '275', '406', '358', '467', '26', '306', '59', '78', '137', '262', '349', '107', '238', '428', '3', '364', '483']
['224', '42', '163', '487', '6', '440', '413', '371', '297', '27', '129', '432', '301', '23', '244', '367', '411', '412', '313', '350', '69', '348', '5', '310', '146', '229', '204', '465', '386', '9', '179', '117', '292', '105', '97', '242', '115', '293', '339']
['449', '24', '53', '99', '176', '389', '16', '388', '427', '236', '374', '393', '370', '320', '96', '314', '291', '252', '118', '425', '265', '315', '271', '111', '228', '407', '144', '298', '170', '255', '186', '158', '139', '338', '134', '196', '447', '459', '217']
['261', '55', '68', '80', '254', '258', '300', '82', '180', '227', '304', '485', '454', '443', '400', '45', '445', '192', '54', '260', '316', '469', '28', '109', '50', '461', '429', '30', '222', '201', '159', '474', '451', '332', '441', '173', '189', '426', '71']
['168', '14', '272', '392', '307', '498', '248', '294', '439', '299', '76', '375', '83', '198', '52', '347', '478', '479', '421', '174', '309', '490', '102', '218', '460', '147', '61', '33', '136', '88', '94', '65', '160', '259', '56', '249', '216', '494', '274']
['13', '473', '157', '237', '396', '380', '38', '234', '10', '133', '161', '321', '281', '381', '77', '481', '333', '430', '19', '184', '213', '330', '243', '49', '113', '108', '93', '183', '457', '455', '81', '110', '211', '318', '194', '450', '32', '156', '123']
['357', '177', '31', '2', '17', '39', '84', '89', '92', '116', '140', '154', '155', '162', '171', '193', '223', '225', '230', '233', '245', '253', '269', '280', '311', '353', '362', '423', '424', '464', '496', '499']
