['179', '1', '66', '23', '2', '5', '10']
['277', '9', '38', '4', '112', '230', '281']
['76', '205', '285', '32', '39', '44', '45']
['224', '3', '87', '8', '36', '91', '220']
['93', '238', '279', '58', '60', '63', '74']
['400', '368', '379', '451', '485', '370', '366']
['443', '162', '15', '50', '312', '131', '313']
['302', '13', '77', '34', '119', '300', '304']
['334', '26', '69', '475', '6', '106', '259']
['447', '396', '104', '462', '41', '364', '357']
['19', '54', '320', '135', '258', '151', '456']
['143', '46', '260', '80', '83', '88', '92']
['0', '7', '20', '47', '55', '128', '144']
['372', '367', '392', '427', '472', '435', '385']
['165', '25', '68', '332', '246', '333', '181']
['62', '175', '284', '98', '100', '102', '103']
['440', '59', '371', '172', '223', '342', '378']
['387', '213', '374', '422', '84', '407', '369']
['322', '107', '108', '110', '114', '120', '124']
['184', '125', '126', '127', '129', '130', '137']
['459', '237', '73', '202', '410', '430', '141']
['101', '254', '406', '469', '484', '42', '139']
['123', '142', '146', '147', '149', '152', '154']
['214', '85', '350', '155', '156', '157', '158']
['314', '16', '51', '79', '315', '192', '148']
['441', '188', '373', '229', '413', '386', '473']
['136', '159', '160', '161', '163', '166', '170']
['289', '11', '37', '116', '293', '28', '288']
['75', '204', '267', '420', '171', '173', '176']
['65', '178', '384', '419', '461', '33', '360']
['282', '27', '70', '336', '113', '337', '167']
['115', '292', '339', '177', '180', '182', '183']
['321', '186', '189', '190', '191', '193', '195']
['241', '96', '30', '343', '81', '194', '397']
['71', '338', '196', '197', '198', '199', '201']
['257', '203', '206', '208', '209', '210', '211']
['168', '212', '217', '222', '225', '226', '227']
['117', '29', '341', '298', '72', '340', '169']
['426', '95', '18', '319', '240', '134', '232']
['449', '228', '231', '234', '235', '236', '239']
['145', '48', '429', '272', '377', '394', '481']
['408', '243', '244', '245', '247', '248', '249']
['398', '474', '221', '250', '251', '253', '255']
['450', '43', '399', '140', '200', '376', '480']
['391', '434', '467', '256', '264', '265', '266']
['53', '150', '318', '268', '269', '270', '271']
['375', '207', '388', '477', '415', '78', '423']
['478', '273', '274', '275', '280', '283', '286']
['132', '287', '290', '291', '294', '296', '301']
['219', '24', '67', '330', '90', '331', '164']
['242', '97', '383', '358', '471', '418', '455']
['263', '305', '307', '308', '309', '323', '328']
['216', '479', '393', '436', '329', '335', '344']
['403', '278', '458', '482', '49', '347', '356']
['463', '345', '346', '348', '349', '351', '353']
['105', '262', '354', '359', '361', '362', '365']
['12', '40', '118', '295', '299', '363', '64']
['311', '14', '122', '35', '121', '306', '310']
['99', '252', '297', '381', '382', '390', '395']
['425', '61', '174', '261', '402', '405', '409']
['185', '411', '412', '414', '417', '421', '424']
['276', '22', '57', '326', '111', '327', '138']
['215', '86', '352', '428', '431', '433', '437']
['404', '438', '439', '442', '445', '448', '452']
['153', '56', '21', '324', '416', '109', '325']
['187', '453', '454', '457', '460', '464', '465']
['233', '468', '470', '476', '483', '486']
['466', '380', '355', '401', '487', '444', '488']
['389', '432', '446', '303', '31', '94', '82']
['218', '17', '52', '316', '89', '317', '133']
