['73', '103', '257', '177', '2', '483', '386', '370', '92', '297', '452', '201', '45', '469', '404', '144', '295', '294', '43', '241', '220', '19']
['32', '20', '101', '204', '300', '475', '440', '80', '377', '74', '13', '429', '154', '163', '59', '344', '36', '157', '199', '374', '225', '310']
['148', '78', '184', '63', '482', '448', '272', '72', '197', '293', '392', '268', '430', '205', '346', '331', '33', '208', '81', '210', '231', '360']
['185', '253', '95', '238', '411', '333', '145', '51', '162', '240', '89', '14', '84', '375', '464', '262', '188', '371', '259', '24', '274', '422']
['296', '212', '192', '364', '358', '361', '340', '315', '265', '99', '472', '476', '354', '108', '437', '463', '373', '190', '221', '479', '299', '124']
['287', '356', '399', '150', '100', '427', '176', '77', '365', '88', '455', '417', '477', '214', '260', '311', '283', '445', '52', '164', '29', '319']
['76', '387', '181', '134', '394', '326', '68', '93', '269', '147', '398', '61', '303', '169', '381', '425', '292', '110', '314', '121', '0', '98']
['129', '248', '418', '382', '250', '403', '217', '57', '267', '378', '390', '41', '405', '114', '226', '230', '419', '461', '179', '106', '242', '233']
['64', '350', '127', '380', '66', '173', '470', '40', '402', '245', '5', '37', '481', '379', '400', '473', '54', '69', '165', '130', '318', '353']
['285', '158', '467', '178', '85', '345', '128', '21', '289', '291', '420', '223', '227', '443', '229', '82', '183', '143', '341', '131', '332', '474']
['450', '336', '252', '256', '301', '325', '44', '447', '11', '191', '249', '117', '446', '308', '193', '309', '195', '391', '97', '471', '119', '456']
['42', '126', '369', '458', '65', '79', '323', '136', '273', '307', '438', '62', '132', '366', '151', '35', '109', '83', '107', '118', '264', '196']
['368', '12', '351', '302', '219', '342', '189', '171', '75', '102', '216', '282', '335', '359', '211', '306', '25', '244', '116', '322', '138', '55']
['459', '243', '397', '38', '401', '462', '347', '433', '50', '428', '200', '247', '94', '111', '149', '146', '413', '363', '10', '166', '235', '338']
['431', '263', '135', '337', '206', '408', '30', '160', '327', '349', '71', '389', '466', '213', '222', '236', '115', '125', '16', '286', '246', '175']
['137', '266', '316', '348', '123', '372', '423', '258', '182', '409', '480', '6', '383', '410', '395', '355', '320', '280', '313', '122', '328', '451']
['22', '407', '288', '465', '161', '224', '239', '275', '86', '1', '298', '406', '304', '343', '436', '7', '393', '276', '460', '46', '453', '34']
['9', '140', '478', '254', '277', '388', '3', '198', '414', '159', '457', '70', '367', '168', '170', '416', '228', '396', '412', '141', '339', '53']
['187', '279', '384', '56', '385', '48', '203', '317', '357', '155', '174', '426', '133', '105', '180', '278', '90', '442', '376', '153', '444', '281']
['91', '152', '468', '49', '139', '209', '202', '237', '23', '218', '432', '261', '8', '439', '4', '441', '234', '434', '255', '324', '352', '207']
['334', '96', '312', '194', '449', '26', '156', '454', '172', '167', '424', '60', '305', '329', '251', '270', '17', '232', '87', '18', '120', '415']
['28', '362', '421', '321', '271', '290', '15', '67', '215', '47', '113', '58', '284', '435', '27', '104', '31', '330', '186', '142', '112', '39']
