['31', '0', '1', '2', '5', '14', '15', '20', '12', '18', '46', '23', '35', '37', '22', '49', '29', '42', '3', '36', '13', '17', '7', '32', '48']
['203', '33', '213', '221', '234', '240', '247', '210', '217', '224', '232', '241', '218', '243', '235', '248', '201', '220', '202', '212', '219', '222', '228', '245', '200']
['206', '63', '215', '205', '214', '249', '246', '238', '216', '209', '223', '229', '204', '230', '225', '233', '236', '231', '226', '237', '211', '244', '227', '207', '242']
['208', '52', '54', '85', '58', '79', '55', '57', '92', '75', '86', '91', '62', '61', '77', '59', '84', '83', '97', '60', '81', '64', '73', '74', '98']
['51', '4', '30', '284', '34', '44', '47', '41', '25', '43', '6', '9', '16', '24', '26', '45', '11', '10', '39', '19', '21', '38', '8', '27', '65']
['159', '87', '195', '194', '154', '164', '171', '183', '199', '198', '172', '182', '157', '176', '180', '160', '155', '163', '188', '170', '185', '150', '174', '187', '181']
['40', '100', '108', '117', '144', '135', '107', '102', '130', '110', '105', '115', '134', '127', '128', '124', '114', '148', '119', '141', '125', '101', '116', '143', '120']
['88', '66', '68', '69', '72', '89', '96', '78', '90', '70', '99', '80', '50', '71', '76', '95', '56', '93', '82', '67', '113', '129', '136', '104', '146']
['239', '131', '147', '103', '126', '133', '138', '111', '122', '123', '140', '149', '109', '137', '112', '118', '132', '142', '145', '139', '121', '106', '94', '261', '272']
['254', '169', '289', '252', '264', '273', '298', '255', '260', '270', '256', '266', '278', '267', '285', '295', '286', '251', '281', '277', '265', '269', '258', '279', '287']
['283', '53', '253', '268', '271', '275', '274', '290', '280', '291', '282', '257', '296', '262', '250', '263', '299', '297', '292', '259', '294', '293', '276', '288', '161']
['151', '28', '152', '153', '156', '165', '191', '193', '175', '158', '197', '173', '178', '162', '190', '192', '196', '189', '184', '167', '177', '166', '179', '186', '168']
