['r6', 'v10', 'w5', 'w2', 'u5', 'u10', 'd7', 'l3', 'u7', 'd4']
['l8', 'y9', 'y5', 'l4', 'l2', 'p8', 'c10', 'l9', 'l5', 'l10']
['m6', 'c4', 'c6', 'e5', 'n10', 'c8', 'd5', 'c9', 'r9', 'n9']
['e8', 'y8', 'y7', 'y4', 'y6', 'y10', 'w1', 'r10', 'p3', 't9']
['a7', 'q2', 'q9', 'a2', 'd2', 'r4', 'x3', 'x5', 'x2', 'm9']
['p4', 'd9', 'c5', 'k10', 'i10', 'i3', 'p5', 'h9', 'a8', 'p7']
['v3', 'y2', 'q3', 'n4', 'b7', 'x4', 'u9', 'n2', 'b4', 'n5']
['p1', 'd3', 'g9', 'p10', 'd1', 'g4', 'i7', 'h10', 'r5', 'a9']
['q6', 'q5', 'q4', 'q7', 'q8', 'h8', 'f4', 'c2', 'l6', 'f3']
['w8', 'j10', 'o4', 'f6', 'u8', 't7', 't5', 'o2', 't8', 't4']
['e6', 'e10', 'b3', 'b8', 'g7', 'e4', 'e7', 'e3', 'e1', 'e9']
['v6', 'g8', 't3', 'j5', 'f2', 'x10', 'u2', 'j4', 'x1', 'j9']
['p2', 'g5', 'u4', 'k7', 'f7', 'i5', 'i6', 'o7', 'b2', 'o3']
['g10', 'q1', 'l7', 'b1', 'w6', 'm1', 'c7', 'k8', 'a6', 'r7']
['f5', 't2', 't10', 'i1', 'x7', 'e2', 'k1', 'n6', 't6', 'n1']
['s5', 'd8', 'y3', 'o9', 'o6', 'o10', 'p6', 'm8', 'i8', 'h3']
['y1', 'f8', 'h6', 's6', 'g1', 'v8', 's3', 's10', 'r2', 's2']
['j2', 'g2', 'j7', 'i9', 'j3', 'k4', 's8', 'q10', 'g6', 'o1']
['f9', 't1', 'f10', 'w4', 'j1', 'f1', 'b5', 'a3', 'h4', 's9']
['k6', 'l1', 'r3', 'k9', 'k3', 'k5', 'k2', 'i2', 'h5', 'h7']
['j6', 'w3', 'u6', 'm7', 'a4', 'c1', 'a10', 'r8', 'p9', 'd10']
['j8', 'h2', 'd6', 'm4', 'h1', 'm5', 'u1', 'v9', 'v1', 'v5']
['a1', 'o5', 'a5', 'w9', 'x8', 'v7', 'm2', 'n7', 's7', 's1']
['i4', 'm10', 'w10', 'n3', 'g3', 'm3', 'r1', 'w7', 'x6', 'v4']
['b10', 'c3', 'b9', 'b6', 'n8', 's4', 'o8', 'u3', 'x9', 'v2']
