['437', '100', '237', '261', '246', '0', '2', '3', '10', '11', '12', '15', '17', '19', '20', '24', '25', '29', '30', '32', '33', '34', '36', '40', '42', '43']
['482', '5', '120', '221', '301', '353', '240', '381', '399', '151', '140', '45', '185', '265', '146', '349', '491', '464', '41', '356', '451', '293', '13', '153', '184', '297']
['417', '39', '47', '247', '101', '131', '197', '407', '266', '62', '99', '102', '233', '309', '285', '483', '262', '273', '472', '324', '169', '372', '298', '268', '213', '396']
['4', '469', '329', '44', '48', '50', '52', '57', '58', '59', '64', '65', '71', '72', '73', '74', '76', '78', '79', '80', '81', '83', '85', '86', '87', '89']
['390', '22', '56', '409', '252', '68', '88', '90', '91', '97', '103', '107', '109', '110', '113', '116', '117', '119', '122', '123', '125', '132', '143', '145', '147', '149']
['326', '200', '150', '154', '157', '159', '160', '162', '163', '166', '167', '170', '174', '176', '177', '180', '182', '183', '186', '188', '190', '193', '194', '196', '198', '203']
['127', '7', '18', '28', '67', '92', '106', '226', '243', '230', '313', '433', '129', '385', '218', '142', '327', '152', '378', '345', '212', '130', '124', '479', '205', '207']
['96', '16', '175', '312', '51', '445', '206', '209', '214', '219', '220', '222', '224', '225', '228', '229', '232', '234', '236', '239', '241', '242', '251', '253', '257', '258']
['135', '61', '134', '137', '368', '211', '319', '136', '191', '75', '133', '267', '49', '287', '208', '340', '165', '227', '400', '245', '38', '55', '435', '335', '359', '337']
['270', '14', '93', '141', '202', '474', '299', '318', '413', '387', '70', '111', '238', '8', '26', '468', '410', '418', '118', '192', '215', '1', '338', '284', '171', '444']
['139', '23', '94', '105', '384', '419', '370', '144', '331', '398', '438', '164', '178', '259', '260', '264', '269', '274', '275', '277', '278', '279', '280', '281', '282', '283']
['499', '397', '466', '432', '121', '456', '82', '288', '290', '291', '292', '294', '296', '306', '307', '308', '314', '315', '321', '323', '325', '333', '334', '336', '339', '341']
['69', '35', '201', '403', '204', '371', '380', '498', '95', '128', '361', '382', '401', '320', '276', '21', '54', '255', '362', '216', '429', '195', '155', '344', '263', '250']
['98', '343', '346', '350', '351', '352', '354', '360', '363', '364', '365', '366', '367', '373', '374', '376', '377', '379', '383', '386', '388', '389', '392', '394', '395', '402']
['46', '6', '37', '108', '115', '156', '393', '63', '357', '248', '126', '305', '375', '303', '189', '223', '187', '112', '355', '256', '369', '286', '295', '27', '60', '66']
['408', '31', '168', '254', '478', '289', '181', '199', '330', '249', '348', '347', '317', '404', '405', '414', '415', '416', '420', '423', '424', '425', '426', '427', '428', '430']
['179', '302', '244', '452', '391', '460', '231', '411', '434', '436', '439', '440', '441', '442', '443', '446', '447', '448', '449', '450', '453', '454', '455', '457', '458', '459']
['358', '53', '114', '172', '235', '310', '421', '316', '322', '311', '328', '271', '304', '161', '138', '77', '332', '300', '9', '422', '406', '342', '431', '158', '412', '84']
['217', '104', '148', '461', '462', '463', '465', '467', '470', '471', '473', '475', '476', '477', '480', '481', '484', '485', '486', '487', '488', '492', '493', '494', '495', '496']
['489', '173', '272', '490', '210', '497']
