['WDGCR', 'KENPF', 'DFBMK', 'OXRUQ', 'ENWEP']
['WJIWZ', 'ZBJTS', 'ZJPJO', 'TEFPC', 'NHQWU']
['XXRUC', 'ORRXP', 'AHMRO', 'JTHWI', 'HAXVF']
['JQBSO', 'BLHOQ', 'OMYLR', 'FSTKF', 'VLEXY']
['NSTKH', 'XNYRJ', 'VYDDY', 'WSVIR', 'IBUGB']
['SRFIJ', 'ZCVZT', 'GLIPE', 'WHRVK', 'SKBJW']
['ZYPEK', 'TLZCG', 'CFMPM', 'GEQFC', 'QQUYY']
['XUHAP', 'XBTFE', 'SMSHQ', 'HTJHJ', 'SGTRH']
['SGRXP', 'QPVND', 'TAHXC', 'JOZYK', 'EGIIY']
['OVYUV', 'NSDMC', 'PLFWC', 'PGHQU', 'BVCTY']
['LSZMU', 'OVYDG', 'BBVXC', 'KXUES', 'KRWXO']
['NVSYK', 'VXIFI', 'CBNUD', 'VLQCW', 'LVBGW']
['AGDTK', 'TKYGG', 'SVMGK', 'DVRRV', 'FBWOW']
['UHOTV', 'JXGHX', 'QAOAR', 'ENKVR', 'LCHJI']
['ZUTJZ', 'JWSRE', 'PKHDM', 'NDLFM', 'WUTXG']
['QBVUY', 'OZZTI', 'WAQDW', 'KXMSB', 'OSLVS']
['YWPLR', 'EAEIR', 'IGUWL', 'KYKCO', 'UJESQ']
['YQSUZ', 'CKFJL', 'TFGVT', 'UBCVC', 'PQDFC']
['RFWKF', 'OKQTW', 'WLCAR', 'RDCTS', 'DLKKW']
['QIZOX', 'XCTJB', 'LIGPC', 'APXMD', 'ZEPYJ']
['GAEKQ', 'CQBIT', 'EADHZ', 'BNYBV', 'LYGHF']
['OLFRP', 'CPTCX', 'RURLC', 'MXBHP', 'WGGGP']
['VXLZU', 'PXCKJ', 'FDGQA', 'QIALM', 'FELNZ']
['VBRPO', 'SIGOM', 'QCRLR', 'DSUJE', 'FEUEQ']
['QNUDR', 'WNYYG', 'RMJIF', 'RJIED', 'ECNTU']
['XWMKT', 'KDZKT', 'GJRAV', 'VGUGP', 'VQDCT']
['WWYEF', 'YORBA', 'MIKDS', 'XIDUV', 'HNKDE']
['VQAKV', 'PQAHJ', 'THQAC', 'ACJRU', 'ABYHN']
['UQKOV', 'BPLLS', 'EHMWV', 'BGOJW', 'IAMKK']
['EHHWX', 'UDTFQ', 'XGNPD', 'EOCJX', 'QGXZJ']
['IZZTZ', 'SROSJ', 'MQDQQ', 'OTQON', 'UFVEC']
['MRXML', 'PABIC', 'BTWAZ', 'VNVFZ', 'SAVNS']
['OAGEZ', 'ALMIE', 'MTCGB', 'FJPVZ', 'TNZEA']
