['387', '5', '33', '85', '219', '259', '22', '309', '9', '137', '122', '210', '40', '146', '323', '232', '171', '80', '267', '87', '23']
['21', '3', '6', '55', '88', '103', '153', '99', '244', '312', '61', '159', '142', '292', '297', '371', '196', '92', '131', '327', '50']
['184', '4', '8', '19', '27', '162', '179', '30', '186', '59', '161', '125', '221', '239', '193', '109', '189', '201', '362', '279', '31']
['202', '12', '15', '47', '110', '315', '52', '272', '339', '198', '353', '165', '389', '37', '372', '116', '291', '108', '386', '127', '101']
['97', '11', '24', '107', '14', '120', '121', '229', '81', '123', '260', '334', '381', '344', '286', '63', '270', '106', '64', '111', '173']
['301', '7', '26', '45', '46', '129', '277', '82', '172', '117', '218', '350', '331', '130', '83', '208', '276', '328', '48', '49', '90']
['256', '2', '29', '41', '44', '128', '213', '175', '282', '34', '375', '236', '166', '176', '243', '341', '390', '89', '100', '167', '207']
['152', '1', '16', '71', '72', '160', '299', '149', '355', '395', '38', '73', '399', '145', '200', '105', '95', '53', '329', '317', '385']
['264', '13', '20', '66', '183', '56', '240', '262', '388', '308', '182', '206', '287', '330', '124', '357', '366', '185', '373', '102', '352']
['378', '25', '35', '42', '94', '76', '133', '268', '313', '360', '138', '368', '310', '163', '112', '278', '348', '248', '332', '295', '333']
['39', '10', '43', '91', '379', '394', '114', '249', '157', '177', '28', '187', '374', '298', '343', '398', '233', '164', '300', '305', '383']
['156', '36', '65', '113', '190', '319', '194', '170', '199', '135', '70', '62', '93', '273', '365', '358', '86', '304', '382', '32', '203']
['224', '58', '96', '204', '347', '397', '223', '230', '78', '237', '192', '280', '150', '17', '228', '261', '275', '318', '283', '345', '290']
['75', '54', '245', '306', '227', '246', '77', '263', '391', '354', '205', '139', '60', '376', '296', '67', '231', '251', '174', '212', '349']
['269', '57', '151', '191', '214', '346', '370', '216', '285', '338', '220', '253', '294', '180', '274', '384', '265', '241', '266', '254', '148']
['69', '134', '140', '143', '169', '126', '303', '321', '197', '252', '217', '322', '393', '336', '132', '222', '359', '369', '154', '115', '271']
['181', '226', '250', '293', '396', '284', '316', '324', '363', '311', '356', '79', '234', '188', '158', '74', '178', '340', '320', '400', '257']
['118', '18', '136', '209', '238', '255', '288', '361', '119', '211', '242', '326', '98', '258', '235', '155', '364', '380', '168', '247', '337']
['281', '141', '215', '342', '307', '367', '144', '289', '392', '195', '302', '84', '68', '325', '377', '51', '351', '147']
['104', '335', '225', '314']
